start_depth,end_depth,thickness,lithotype_code,class_key,class_name,sample_count
1837.1000,1838.9000,1.8000,1,sand_arkose_arenite,высокопористый аркозовый аренит,9
1838.9000,1839.9000,1.0000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,5
1839.9000,1841.5000,1.6000,1,sand_arkose_arenite,высокопористый аркозовый аренит,8
1841.5000,1842.1000,0.6000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,3
1842.1000,1843.7000,1.6000,1,sand_arkose_arenite,высокопористый аркозовый аренит,8
1843.7000,1844.5000,0.8000,1,sand_arkose_wacke,высокопористый аркозовый песчаник,4
1844.5000,1845.5000,1.0000,1,sand_arkose_arenite,высокопористый аркозовый аренит,5
1845.5000,1845.9000,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1845.9000,1846.7000,0.8000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,4
1846.7000,1847.1000,0.4000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,2
1847.1000,1847.3000,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
1847.3000,1847.5000,0.2000,2,seal_silty_argillite,песчанистая легкая глина,1
1847.5000,1848.5000,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1848.5000,1849.1000,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1849.1000,1849.3000,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
1849.3000,1849.5000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1849.5000,1849.7000,0.2000,2,seal_kaolinite_clay,каолинитовая тяжелая глина,1
1849.7000,1850.5000,0.8000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,4
1850.5000,1850.7000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1850.7000,1850.9000,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1850.9000,1852.5000,1.6000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,8
1852.5000,1853.3000,0.8000,1,sand_arkose_arenite,высокопористый аркозовый аренит,4
1853.3000,1854.1000,0.8000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,4
1854.1000,1854.5000,0.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,2
1854.5000,1857.3000,2.8000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,14
1857.3000,1857.5000,0.2000,1,sand_subarkose_arenite,пористый субаркозовый аренит,1
1857.5000,1857.7000,0.2000,1,sand_subarkose_arenite,плотный субаркозовый аренит,1
1857.7000,1857.9000,0.2000,1,sand_subarkose_arenite,пористый субаркозовый аренит,1
1857.9000,1858.1000,0.2000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,1
1858.1000,1858.3000,0.2000,1,sand_subarkose_arenite,пористый субаркозовый аренит,1
1858.3000,1859.7000,1.4000,1,sand_subarkose_arenite,плотный субаркозовый аренит,7
1859.7000,1859.9000,0.2000,1,sand_subarkose_arenite,пористый субаркозовый аренит,1
1859.9000,1864.3000,4.4000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,22
1864.3000,1864.7000,0.4000,1,sand_arkose_arenite,высокопористый аркозовый аренит,2
1864.7000,1865.7000,1.0000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,5
1865.7000,1867.5000,1.8000,1,sand_arkose_arenite,высокопористый аркозовый аренит,9
1867.5000,1869.1000,1.6000,1,sand_subarkose_arenite,высокопористый субаркозовый аренит,8
1869.1000,1869.3000,0.2000,1,sand_subarkose_wacke,высокопористый субаркозовый песчаник,1
1869.3000,1869.7000,0.4000,1,sand_subarkose_wacke,пористый субаркозовый песчаник,2
1869.7000,1870.3000,0.6000,1,sand_subarkose_wacke,высокопористый субаркозовый песчаник,3
1870.3000,1870.7000,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1870.7000,1871.3000,0.6000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,3
1871.3000,1871.7000,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1871.7000,1871.9000,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1871.9000,1872.5000,0.6000,2,seal_silty_argillite,песчанистая легкая глина,3
1872.5000,1872.7000,0.2000,2,seal_kaolinite_argillite,каолинитовая легкая глина,1
1872.7000,1872.9000,0.2000,2,seal_silty_argillite,песчанистая легкая глина,1
1872.9000,1873.1000,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
