depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1778.6100,2,0.070902,0.174238,0.153991,0.315898,0.284970,0.342840,0.672282,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1778.8100,2,0.067380,0.189771,0.130842,0.271764,0.340242,0.389766,0.675012,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1779.0100,2,0.105456,0.208664,0.115740,0.197776,0.372364,0.500481,0.630832,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1779.2100,2,0.283394,0.168857,0.098122,0.143627,0.306000,0.651659,0.594117,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1779.4100,2,0.426616,0.161088,0.098882,0.095172,0.218242,0.751773,0.490441,высокопористый,seal_kaolinite_clay,каолинитовая тяжелая глина
1779.6100,2,0.438756,0.174323,0.108569,0.075201,0.203152,0.769379,0.409214,высокопористый,seal_kaolinite_clay,каолинитовая тяжелая глина
1779.8100,2,0.461105,0.108795,0.103938,0.140405,0.185758,0.699914,0.574623,высокопористый,seal_kaolinite_clay,каолинитовая тяжелая глина
1780.0100,2,0.507013,0.002086,0.099738,0.244254,0.146909,0.596770,0.710056,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1780.2100,2,0.523741,0.000000,0.084266,0.285083,0.106909,0.586437,0.771852,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1780.4100,2,0.468878,0.000000,0.088354,0.305578,0.137190,0.543432,0.775713,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1780.6100,2,0.293174,0.092324,0.096723,0.271355,0.246424,0.511559,0.737222,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1780.8100,2,0.305675,0.122795,0.102003,0.203466,0.266061,0.583795,0.666077,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1781.0100,2,0.262634,0.152562,0.108286,0.134093,0.342424,0.631405,0.553236,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1781.2100,2,0.029677,0.287400,0.090462,0.112763,0.479697,0.609409,0.554868,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1781.4100,2,0.009422,0.316835,0.061714,0.160575,0.451455,0.594767,0.722371,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1781.6100,2,0.166320,0.271233,0.047347,0.214979,0.300121,0.625184,0.819512,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1781.8100,2,0.132196,0.347057,0.077267,0.206207,0.237273,0.628342,0.727428,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1782.0100,2,0.013925,0.414170,0.123844,0.189758,0.258303,0.577184,0.605093,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1782.2100,2,0.005421,0.353011,0.149256,0.223706,0.268606,0.490067,0.599809,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1782.4100,2,0.107186,0.222691,0.164225,0.260868,0.245030,0.436941,0.613672,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1782.6100,2,0.203649,0.161255,0.166019,0.260896,0.208182,0.460843,0.611119,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
