well_name,n_points,n_intervals,depth_min,depth_max,dominant_class,dominant_thickness,points_csv,intervals_csv,column_png
1115_1621_1709,442,151,1620.51,1708.91,высокопористый аркозовый аренит,29.40,outputs\final_lithology\1115_1621_1709\1115_1621_1709_final_lithology_points.csv,outputs\final_lithology\1115_1621_1709\1115_1621_1709_final_lithology_intervals.csv,outputs\final_lithology\1115_1621_1709\1115_1621_1709_final_lithology_column.png
1115_1744_1836,465,89,1743.52,1836.52,каолинит-гидрослюдистая легкая глина,43.80,outputs\final_lithology\1115_1744_1836\1115_1744_1836_final_lithology_points.csv,outputs\final_lithology\1115_1744_1836\1115_1744_1836_final_lithology_intervals.csv,outputs\final_lithology\1115_1744_1836\1115_1744_1836_final_lithology_column.png
1115_1837_1919,409,99,1837.10,1918.90,высокопористый субаркозовый аренит,31.40,outputs\final_lithology\1115_1837_1919\1115_1837_1919_final_lithology_points.csv,outputs\final_lithology\1115_1837_1919\1115_1837_1919_final_lithology_intervals.csv,outputs\final_lithology\1115_1837_1919\1115_1837_1919_final_lithology_column.png
1528_1675_1769,474,157,1674.67,1769.47,каолинитовая легкая глина,27.20,outputs\final_lithology\1528_1675_1769\1528_1675_1769_final_lithology_points.csv,outputs\final_lithology\1528_1675_1769\1528_1675_1769_final_lithology_intervals.csv,outputs\final_lithology\1528_1675_1769\1528_1675_1769_final_lithology_column.png
1528_1850_1931,403,108,1850.30,1930.90,каолинит-гидрослюдистая легкая глина,24.80,outputs\final_lithology\1528_1850_1931\1528_1850_1931_final_lithology_points.csv,outputs\final_lithology\1528_1850_1931\1528_1850_1931_final_lithology_intervals.csv,outputs\final_lithology\1528_1850_1931\1528_1850_1931_final_lithology_column.png
2353_1612_1696,422,93,1611.73,1696.13,каолинитовая легкая глина,43.00,outputs\final_lithology\2353_1612_1696\2353_1612_1696_final_lithology_points.csv,outputs\final_lithology\2353_1612_1696\2353_1612_1696_final_lithology_intervals.csv,outputs\final_lithology\2353_1612_1696\2353_1612_1696_final_lithology_column.png
2353_1737_1827,454,75,1736.75,1827.55,каолинит-гидрослюдистая легкая глина,43.80,outputs\final_lithology\2353_1737_1827\2353_1737_1827_final_lithology_points.csv,outputs\final_lithology\2353_1737_1827\2353_1737_1827_final_lithology_intervals.csv,outputs\final_lithology\2353_1737_1827\2353_1737_1827_final_lithology_column.png
2353_1838_1931,468,148,1837.82,1931.42,высокопористый субаркозовый аренит,22.60,outputs\final_lithology\2353_1838_1931\2353_1838_1931_final_lithology_points.csv,outputs\final_lithology\2353_1838_1931\2353_1838_1931_final_lithology_intervals.csv,outputs\final_lithology\2353_1838_1931\2353_1838_1931_final_lithology_column.png
3029_1600_1692,459,117,1600.24,1692.04,каолинит-гидрослюдистая легкая глина,30.40,outputs\final_lithology\3029_1600_1692\3029_1600_1692_final_lithology_points.csv,outputs\final_lithology\3029_1600_1692\3029_1600_1692_final_lithology_intervals.csv,outputs\final_lithology\3029_1600_1692\3029_1600_1692_final_lithology_column.png
3029_1697_1778,403,148,1697.25,1777.85,каолинит-гидрослюдистая легкая глина,14.40,outputs\final_lithology\3029_1697_1778\3029_1697_1778_final_lithology_points.csv,outputs\final_lithology\3029_1697_1778\3029_1697_1778_final_lithology_intervals.csv,outputs\final_lithology\3029_1697_1778\3029_1697_1778_final_lithology_column.png
