interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,98,1850.4,1869.8,98,bf,0.0,0.0,glin_bad_share,0.0,7.17751920002047,65536,32,0
1,1,98,120,1870.0,1874.2,22,bf,0.0,0.0,coll_bad_share,0.0,5.884626799961552,65536,16,0
2,2,120,135,1874.4,1877.2,15,bf,0.0,0.0,glin_bad_share,0.0,6.037208899972029,65536,32,0
3,1,135,158,1877.4,1881.8,23,bf,0.0,0.0,coll_bad_share,0.0,6.081280699989293,65536,16,0
4,2,158,173,1882.0,1884.8,15,bf,0.0,0.0,glin_bad_share,0.0,6.514088399999309,65536,32,0
5,1,173,194,1885.0,1889.0,21,bf,0.0,0.0,coll_bad_share,0.0,6.042467500024941,65536,16,0
6,2,194,224,1889.2,1895.0,30,bf,0.005333333333333334,0.006666666666666667,glin_bad_share,0.0,6.114451200002804,65536,32,0
7,1,224,278,1895.2,1905.8,54,bf,0.0,0.0,coll_bad_share,0.0,6.5932422000332735,65536,16,0
8,2,278,298,1906.0,1909.8,20,bf,0.0,0.0,glin_bad_share,0.0,5.997541899967473,65536,32,0
9,1,298,318,1910.0,1913.8,20,bf,0.0,0.0,coll_bad_share,0.0,6.520099500019569,65536,16,0
10,2,318,350,1914.0,1920.2,32,bf,0.0,0.0,glin_bad_share,0.0,6.371005900029559,65536,32,0
11,1,350,385,1920.4,1927.2,35,bf,0.0,0.0,coll_bad_share,0.0,6.356044600019231,65536,16,0
12,2,385,403,1927.4,1930.8,18,bf,0.0,0.0,glin_bad_share,0.0,5.971528199966997,65536,32,0
