trial_id,search_time_sec,quality_score,negative_share,glin_bad_share,coll_bad_share,feasible,better_than_baseline,population_size,ngen,cxpb,mutpb,indpb,tournsize,patience,min_delta,n_jobs,seed
5,5.481892,0.0485597615,0.0404693546,0.0623172515,0.0051201260,1,1,280,110,0.6,0.3,0.12,4,60,1e-06,1,758238
11,5.144568,0.0485730624,0.0403195606,0.0623172515,0.0055139819,1,1,140,220,0.7,0.35,0.12,4,60,1e-07,1,586989
10,8.654359,0.0487261711,0.0403694919,0.0623172515,0.0059078377,1,1,340,220,0.5,0.35,0.12,2,45,1e-06,1,890901
9,5.514613,0.0489551371,0.0409437024,0.0621345029,0.0055139819,1,1,280,180,0.7,0.2,0.15,2,25,1e-06,1,738893
6,3.005639,0.0489883107,0.0407439770,0.0623172515,0.0059078377,1,1,220,70,0.7,0.3,0.1,3,25,1e-07,1,25942
1,3.700480,0.0489883107,0.0407439770,0.0623172515,0.0059078377,1,1,220,110,0.6,0.25,0.1,3,25,1e-07,1,2026
12,4.699842,0.0490456894,0.0403195606,0.0623172515,0.0070894053,1,1,280,220,0.6,0.35,0.12,3,25,1e-07,1,872250
7,8.560685,0.0490835799,0.0411933591,0.0615862573,0.0059078377,1,1,420,110,0.6,0.35,0.12,2,45,1e-07,1,909352
8,3.665930,0.0491364685,0.0412932218,0.0623172515,0.0051201260,1,1,140,140,0.7,0.35,0.12,4,35,1e-07,1,591397
3,6.082166,0.0491714205,0.0413431532,0.0623172515,0.0051201260,1,1,340,180,0.7,0.35,0.15,3,25,1e-06,1,644040
2,2.963688,0.0492841657,0.0418175009,0.0615862573,0.0051201260,1,1,140,110,0.7,0.2,0.08,4,60,1e-07,1,821427
4,1.735303,0.0507925107,0.0434902010,0.0623172515,0.0055139819,0,0,140,70,0.6,0.2,0.12,2,45,1e-07,1,220437
