trial_id,seed,sampler,population_size,ngen,cxpb,mutpb,indpb,tournsize,patience,min_delta,n_jobs,n_intervals,final_Q,total_time_sec,total_tested_matrices,negative_share,glin_bad_share,coll_bad_share
1,2026,lhs,292,301,0.7613909946,0.2645467542,0.3221765617,4,89,8.2722007405e-08,1,7,0.0562507277,28.514789,177703,0.0670000000,0.0168918919,0.0096153846
2,2027,lhs,600,186,0.8042270531,0.3244269770,0.1055808076,16,135,5.8576159169e-07,1,7,0.0579750520,96.724120,527580,0.0700000000,0.0101351351,0.0096153846
3,2028,lhs,911,97,0.4546960706,0.8671228990,0.1583426330,14,131,8.4516422496e-07,1,7,0.0546507277,103.579543,579863,0.0650000000,0.0168918919,0.0096153846
4,2029,lhs,759,246,0.8108470550,0.2301711754,0.1769342754,18,66,1.0930327429e-07,1,7,0.0558507277,71.695809,412909,0.0665000000,0.0168918919,0.0096153846
5,2030,lhs,780,234,0.7185179602,0.5989167099,0.0652270648,15,8,1.9401231025e-08,1,7,0.0570507277,10.404143,60907,0.0680000000,0.0168918919,0.0096153846
6,2031,lhs,840,261,0.6350883602,0.7772395751,0.3483484664,10,139,8.9356339729e-07,1,7,0.0531750520,164.453835,943306,0.0640000000,0.0101351351,0.0096153846
7,2032,lhs,436,158,0.7493438303,0.1467707876,0.4470013989,12,21,1.0372242434e-08,1,7,0.0578507277,11.034560,65932,0.0690000000,0.0168918919,0.0096153846
8,2033,lhs,507,187,0.4188969842,0.4184176239,0.1402143337,9,26,2.1737573615e-08,1,7,0.0552372141,14.348993,82049,0.0670000000,0.0067567568,0.0096153846
9,2034,lhs,855,366,0.4659361755,0.4982913168,0.2483522640,12,142,1.7869691034e-07,1,7,0.0527750520,134.251819,759445,0.0635000000,0.0101351351,0.0096153846
10,2035,lhs,722,126,0.5491243835,0.5654538876,0.4296410485,4,43,2.7600738120e-07,1,7,0.0543128898,42.492515,241524,0.0650000000,0.0135135135,0.0096153846
11,2036,lhs,745,57,0.4760691395,0.9567404762,0.3040441467,6,65,1.4669578291e-07,1,7,0.0555128898,49.463234,295603,0.0665000000,0.0135135135,0.0096153846
