parameter,value,generation,best_negative_share
population_size,220.0,0,0.1410061166
population_size,220.0,1,0.1402571464
population_size,220.0,2,0.1402571464
population_size,220.0,3,0.1252777431
population_size,220.0,4,0.1252777431
population_size,220.0,5,0.1214080639
population_size,220.0,6,0.1214080639
population_size,220.0,7,0.1008113843
population_size,220.0,8,0.1008113843
population_size,220.0,9,0.0990887530
population_size,220.0,10,0.0874297840
population_size,220.0,11,0.0827362377
population_size,220.0,12,0.0827362377
population_size,220.0,13,0.0810635376
population_size,220.0,14,0.0792410436
population_size,220.0,15,0.0642866059
population_size,220.0,16,0.0642866059
population_size,220.0,17,0.0629384596
population_size,220.0,18,0.0588440894
population_size,220.0,19,0.0588440894
population_size,220.0,20,0.0579203595
population_size,220.0,21,0.0578454625
population_size,220.0,22,0.0577455998
population_size,220.0,23,0.0569466983
population_size,220.0,24,0.0566720759
population_size,220.0,25,0.0565722132
population_size,220.0,26,0.0537011609
population_size,220.0,27,0.0517288728
population_size,220.0,28,0.0485083011
population_size,220.0,29,0.0485083011
population_size,220.0,30,0.0477842966
population_size,220.0,31,0.0477842966
population_size,220.0,32,0.0473598802
population_size,220.0,33,0.0472350518
population_size,220.0,34,0.0461365622
population_size,220.0,35,0.0452128324
population_size,220.0,36,0.0452128324
population_size,220.0,37,0.0451129697
population_size,220.0,38,0.0451129697
population_size,220.0,39,0.0440893771
population_size,220.0,40,0.0441143428
population_size,220.0,41,0.0436649607
population_size,220.0,42,0.0434902010
population_size,220.0,43,0.0434902010
population_size,220.0,44,0.0434902010
population_size,220.0,45,0.0426164024
population_size,220.0,46,0.0426164024
population_size,220.0,47,0.0424915741
population_size,220.0,48,0.0424666084
population_size,220.0,49,0.0424666084
population_size,220.0,50,0.0424666084
population_size,220.0,51,0.0424666084
population_size,220.0,52,0.0424666084
population_size,220.0,53,0.0424666084
population_size,220.0,54,0.0423168144
population_size,220.0,55,0.0423168144
population_size,220.0,56,0.0414180502
population_size,220.0,57,0.0414180502
population_size,220.0,58,0.0412932218
population_size,220.0,59,0.0412183248
population_size,220.0,60,0.0411434278
population_size,220.0,61,0.0411434278
population_size,220.0,62,0.0411434278
population_size,220.0,63,0.0411434278
population_size,220.0,64,0.0411434278
population_size,220.0,65,0.0409936338
population_size,220.0,66,0.0409936338
population_size,220.0,67,0.0409936338
population_size,220.0,68,0.0409936338
population_size,220.0,69,0.0409936338
population_size,220.0,70,0.0408688054
population_size,220.0,71,0.0408188740
population_size,220.0,72,0.0407939084
population_size,220.0,73,0.0407939084
population_size,220.0,74,0.0407939084
population_size,220.0,75,0.0407939084
population_size,220.0,76,0.0407939084
population_size,220.0,77,0.0407689427
population_size,220.0,78,0.0407689427
population_size,220.0,79,0.0407689427
population_size,220.0,80,0.0407689427
population_size,220.0,81,0.0407689427
population_size,220.0,82,0.0407689427
population_size,220.0,83,0.0399700412
population_size,220.0,84,0.0399700412
population_size,220.0,85,0.0399700412
population_size,220.0,86,0.0399700412
population_size,220.0,87,0.0399700412
population_size,220.0,88,0.0399700412
population_size,220.0,89,0.0398701785
population_size,220.0,90,0.0398701785
population_size,220.0,91,0.0397952815
population_size,220.0,92,0.0398701785
population_size,220.0,93,0.0398701785
population_size,220.0,94,0.0398701785
population_size,220.0,95,0.0398701785
population_size,220.0,96,0.0394457621
population_size,220.0,97,0.0393958307
population_size,220.0,98,0.0393958307
population_size,220.0,99,0.0394457621
population_size,220.0,100,0.0393958307
population_size,220.0,101,0.0393958307
population_size,220.0,102,0.0393958307
population_size,220.0,103,0.0393958307
population_size,220.0,104,0.0393958307
population_size,220.0,105,0.0393958307
population_size,220.0,106,0.0393958307
population_size,220.0,107,0.0393958307
population_size,220.0,108,0.0393958307
population_size,220.0,109,0.0393958307
population_size,220.0,110,0.0393958307
population_size,220.0,111,0.0393958307
population_size,220.0,112,0.0393958307
population_size,220.0,113,0.0393958307
