parameter,value,generation,best_negative_share
population_size,140.0,0,0.1410061166
population_size,140.0,1,0.1398327300
population_size,140.0,2,0.1398327300
population_size,140.0,3,0.1394582449
population_size,140.0,4,0.1377855449
population_size,140.0,5,0.1362376732
population_size,140.0,6,0.1336412433
population_size,140.0,7,0.1322930970
population_size,140.0,8,0.1312944701
population_size,140.0,9,0.1111471726
population_size,140.0,10,0.1163649981
population_size,140.0,11,0.1001872425
population_size,140.0,12,0.0998377231
population_size,140.0,13,0.0856072900
population_size,140.0,14,0.0664086881
population_size,140.0,15,0.0664086881
population_size,140.0,16,0.0646361253
population_size,140.0,17,0.0652353015
population_size,140.0,18,0.0651104731
population_size,140.0,19,0.0651104731
population_size,140.0,20,0.0651104731
population_size,140.0,21,0.0635626014
population_size,140.0,22,0.0630133566
population_size,140.0,23,0.0630133566
population_size,140.0,24,0.0613406566
population_size,140.0,25,0.0613406566
population_size,140.0,26,0.0608413432
population_size,140.0,27,0.0599425790
population_size,140.0,28,0.0599425790
population_size,140.0,29,0.0579952565
population_size,140.0,30,0.0578704282
population_size,140.0,31,0.0559980027
population_size,140.0,32,0.0562726251
population_size,140.0,33,0.0562726251
population_size,140.0,34,0.0544501311
population_size,140.0,35,0.0543752341
population_size,140.0,36,0.0541006117
population_size,140.0,37,0.0533266758
population_size,140.0,38,0.0533266758
population_size,140.0,39,0.0531019848
population_size,140.0,40,0.0531019848
population_size,140.0,41,0.0531019848
population_size,140.0,42,0.0531019848
population_size,140.0,43,0.0530770191
population_size,140.0,44,0.0524528773
population_size,140.0,45,0.0523779803
population_size,140.0,46,0.0523779803
population_size,140.0,47,0.0520534265
population_size,140.0,48,0.0520534265
population_size,140.0,49,0.0519785295
population_size,140.0,50,0.0519785295
population_size,140.0,51,0.0508550743
population_size,140.0,52,0.0468605667
population_size,140.0,53,0.0467856697
population_size,140.0,54,0.0466608413
population_size,140.0,55,0.0458369742
population_size,140.0,56,0.0458369742
population_size,140.0,57,0.0456871801
population_size,140.0,58,0.0448633129
population_size,140.0,59,0.0448633129
population_size,140.0,60,0.0447384846
population_size,140.0,61,0.0447384846
population_size,140.0,62,0.0447384846
population_size,140.0,63,0.0447384846
population_size,140.0,64,0.0447135189
population_size,140.0,65,0.0445637249
population_size,140.0,66,0.0445637249
population_size,140.0,67,0.0445387592
population_size,140.0,68,0.0445387592
population_size,140.0,69,0.0445137935
population_size,140.0,70,0.0445137935
population_size,140.0,71,0.0445137935
population_size,140.0,72,0.0444888279
population_size,140.0,73,0.0438896517
population_size,140.0,74,0.0438896517
population_size,140.0,75,0.0438896517
population_size,140.0,76,0.0438147547
population_size,140.0,77,0.0438147547
population_size,140.0,78,0.0437897890
population_size,140.0,79,0.0437897890
population_size,140.0,80,0.0437648234
population_size,140.0,81,0.0437648234
population_size,140.0,82,0.0437648234
population_size,140.0,83,0.0432904756
population_size,140.0,84,0.0429659219
population_size,140.0,85,0.0429659219
population_size,140.0,86,0.0429409562
population_size,140.0,87,0.0425664711
population_size,140.0,88,0.0425415054
population_size,140.0,89,0.0425415054
population_size,140.0,90,0.0425415054
population_size,140.0,91,0.0425415054
population_size,140.0,92,0.0425415054
population_size,140.0,93,0.0425415054
population_size,140.0,94,0.0425415054
population_size,140.0,95,0.0425415054
population_size,140.0,96,0.0425415054
population_size,140.0,97,0.0425415054
population_size,140.0,98,0.0425415054
population_size,140.0,99,0.0425415054
population_size,140.0,100,0.0425415054
population_size,140.0,101,0.0425415054
population_size,140.0,102,0.0425415054
population_size,140.0,103,0.0425415054
population_size,140.0,104,0.0425415054
population_size,140.0,105,0.0425415054
population_size,140.0,106,0.0425415054
population_size,140.0,107,0.0425415054
population_size,140.0,108,0.0425415054
population_size,140.0,109,0.0425415054
population_size,140.0,110,0.0425415054
population_size,140.0,111,0.0425415054
population_size,140.0,112,0.0425415054
population_size,140.0,113,0.0425415054
population_size,140.0,114,0.0425415054
population_size,140.0,115,0.0425415054
population_size,140.0,116,0.0425415054
population_size,140.0,117,0.0425415054
population_size,140.0,118,0.0425415054
population_size,140.0,119,0.0423667457
population_size,140.0,120,0.0423667457
population_size,140.0,121,0.0415678442
population_size,140.0,122,0.0415678442
population_size,140.0,123,0.0415678442
population_size,140.0,124,0.0415678442
population_size,140.0,125,0.0415678442
population_size,140.0,126,0.0415678442
population_size,140.0,127,0.0415678442
population_size,140.0,128,0.0415678442
population_size,140.0,129,0.0415678442
population_size,140.0,130,0.0408438397
population_size,140.0,131,0.0408438397
population_size,140.0,132,0.0408438397
population_size,140.0,133,0.0408438397
population_size,140.0,134,0.0408438397
population_size,140.0,135,0.0408438397
population_size,140.0,136,0.0408438397
population_size,140.0,137,0.0408438397
population_size,140.0,138,0.0408438397
population_size,140.0,139,0.0408438397
population_size,140.0,140,0.0408438397
population_size,140.0,141,0.0408438397
population_size,140.0,142,0.0408438397
population_size,140.0,143,0.0408438397
population_size,140.0,144,0.0408438397
population_size,140.0,145,0.0408438397
population_size,140.0,146,0.0408438397
population_size,140.0,147,0.0408438397
population_size,140.0,148,0.0408438397
population_size,140.0,149,0.0407939084
population_size,140.0,150,0.0408438397
population_size,140.0,151,0.0408438397
population_size,140.0,152,0.0408438397
population_size,140.0,153,0.0408438397
population_size,140.0,154,0.0408438397
population_size,140.0,155,0.0408438397
population_size,140.0,156,0.0408438397
population_size,140.0,157,0.0408438397
population_size,140.0,158,0.0408438397
population_size,140.0,159,0.0408438397
population_size,140.0,160,0.0408438397
population_size,140.0,161,0.0408438397
population_size,140.0,162,0.0408438397
population_size,140.0,163,0.0408438397
population_size,140.0,164,0.0408438397
population_size,140.0,165,0.0408438397
population_size,140.0,166,0.0408188740
population_size,140.0,167,0.0408438397
population_size,140.0,168,0.0408438397
population_size,140.0,169,0.0408438397
population_size,140.0,170,0.0408438397
population_size,140.0,171,0.0408438397
population_size,140.0,172,0.0408438397
population_size,140.0,173,0.0408438397
population_size,140.0,174,0.0408438397
population_size,140.0,175,0.0408438397
population_size,140.0,176,0.0408438397
population_size,140.0,177,0.0408438397
population_size,140.0,178,0.0408438397
population_size,140.0,179,0.0408188740
population_size,140.0,180,0.0408188740
population_size,140.0,181,0.0408188740
population_size,140.0,182,0.0406191487
population_size,140.0,183,0.0406191487
population_size,140.0,184,0.0406191487
population_size,140.0,185,0.0406191487
population_size,140.0,186,0.0406191487
population_size,140.0,187,0.0406191487
population_size,140.0,188,0.0406191487
population_size,140.0,189,0.0406191487
population_size,140.0,190,0.0406191487
population_size,140.0,191,0.0406191487
population_size,140.0,192,0.0406191487
population_size,140.0,193,0.0406191487
population_size,140.0,194,0.0406191487
population_size,140.0,195,0.0406191487
population_size,140.0,196,0.0406191487
population_size,140.0,197,0.0406191487
population_size,140.0,198,0.0406191487
population_size,140.0,199,0.0406191487
population_size,140.0,200,0.0406191487
population_size,220.0,0,0.1502184496
population_size,220.0,1,0.1400823867
population_size,220.0,2,0.1312695044
population_size,220.0,3,0.1267756834
population_size,220.0,4,0.1087255024
population_size,220.0,5,0.1026838098
population_size,220.0,6,0.0838846586
population_size,220.0,7,0.0812133317
population_size,220.0,8,0.0714767195
population_size,220.0,9,0.0713518911
population_size,220.0,10,0.0594432655
population_size,220.0,11,0.0558232430
population_size,220.0,12,0.0530021221
population_size,220.0,13,0.0530021221
population_size,220.0,14,0.0530021221
population_size,220.0,15,0.0516789415
population_size,220.0,16,0.0508051429
population_size,220.0,17,0.0495318936
population_size,220.0,18,0.0485083011
population_size,220.0,19,0.0470602921
population_size,220.0,20,0.0464611160
population_size,220.0,21,0.0446386219
population_size,220.0,22,0.0452627637
population_size,220.0,23,0.0452627637
population_size,220.0,24,0.0451379353
population_size,220.0,25,0.0439645487
population_size,220.0,26,0.0435151666
population_size,220.0,27,0.0435151666
population_size,220.0,28,0.0435151666
population_size,220.0,29,0.0435151666
population_size,220.0,30,0.0432655099
population_size,220.0,31,0.0432655099
population_size,220.0,32,0.0432655099
population_size,220.0,33,0.0431656472
population_size,220.0,34,0.0431406816
population_size,220.0,35,0.0431406816
population_size,220.0,36,0.0431406816
population_size,220.0,37,0.0425165398
population_size,220.0,38,0.0425165398
population_size,220.0,39,0.0424416427
population_size,220.0,40,0.0424416427
population_size,220.0,41,0.0424416427
population_size,220.0,42,0.0417426039
population_size,220.0,43,0.0417426039
population_size,220.0,44,0.0417426039
population_size,220.0,45,0.0417426039
population_size,220.0,46,0.0417426039
population_size,220.0,47,0.0417426039
population_size,220.0,48,0.0417176382
population_size,220.0,49,0.0417176382
population_size,220.0,50,0.0415928099
population_size,220.0,51,0.0417176382
population_size,220.0,52,0.0415928099
population_size,220.0,53,0.0415928099
population_size,220.0,54,0.0415928099
population_size,220.0,55,0.0415678442
population_size,220.0,56,0.0415928099
population_size,220.0,57,0.0413930845
population_size,220.0,58,0.0413930845
population_size,220.0,59,0.0412682561
population_size,220.0,60,0.0412682561
population_size,220.0,61,0.0412682561
population_size,220.0,62,0.0404693546
population_size,220.0,63,0.0404693546
population_size,220.0,64,0.0403195606
population_size,220.0,65,0.0402945949
population_size,220.0,66,0.0402696293
population_size,220.0,67,0.0402696293
population_size,220.0,68,0.0402696293
population_size,220.0,69,0.0402696293
population_size,220.0,70,0.0401448009
population_size,220.0,71,0.0400948696
population_size,220.0,72,0.0400948696
population_size,220.0,73,0.0400699039
population_size,220.0,74,0.0400449382
population_size,220.0,75,0.0399700412
population_size,220.0,76,0.0399700412
population_size,220.0,77,0.0399450755
population_size,220.0,78,0.0399450755
population_size,220.0,79,0.0399450755
population_size,220.0,80,0.0399201098
population_size,220.0,81,0.0399201098
population_size,220.0,82,0.0398951442
population_size,220.0,83,0.0398951442
population_size,220.0,84,0.0392210710
population_size,220.0,85,0.0392210710
population_size,220.0,86,0.0390962427
population_size,220.0,87,0.0390962427
population_size,220.0,88,0.0390712770
population_size,220.0,89,0.0390463113
population_size,220.0,90,0.0390463113
population_size,220.0,91,0.0390463113
population_size,220.0,92,0.0390463113
population_size,220.0,93,0.0390463113
population_size,220.0,94,0.0389963800
population_size,220.0,95,0.0389963800
population_size,220.0,96,0.0389963800
population_size,220.0,97,0.0389963800
population_size,220.0,98,0.0389963800
population_size,220.0,99,0.0384970665
population_size,220.0,100,0.0384970665
population_size,220.0,101,0.0384970665
population_size,220.0,102,0.0384471352
population_size,220.0,103,0.0384471352
population_size,220.0,104,0.0384471352
population_size,220.0,105,0.0384471352
population_size,220.0,106,0.0384471352
population_size,220.0,107,0.0384471352
population_size,220.0,108,0.0383972038
population_size,220.0,109,0.0383972038
population_size,220.0,110,0.0383972038
population_size,220.0,111,0.0383972038
population_size,220.0,112,0.0383972038
population_size,220.0,113,0.0383972038
population_size,220.0,114,0.0383972038
population_size,220.0,115,0.0383972038
population_size,220.0,116,0.0383972038
population_size,220.0,117,0.0383972038
population_size,220.0,118,0.0383722382
population_size,220.0,119,0.0383972038
population_size,220.0,120,0.0383972038
population_size,220.0,121,0.0383972038
population_size,220.0,122,0.0383972038
population_size,220.0,123,0.0383972038
population_size,220.0,124,0.0383972038
population_size,220.0,125,0.0383722382
population_size,220.0,126,0.0383722382
population_size,220.0,127,0.0383722382
population_size,220.0,128,0.0383722382
population_size,220.0,129,0.0383722382
population_size,220.0,130,0.0383722382
population_size,220.0,131,0.0383722382
population_size,220.0,132,0.0383722382
population_size,220.0,133,0.0383472725
population_size,220.0,134,0.0383472725
population_size,220.0,135,0.0383472725
population_size,220.0,136,0.0383472725
population_size,220.0,137,0.0383472725
population_size,220.0,138,0.0383472725
population_size,220.0,139,0.0383472725
population_size,220.0,140,0.0383472725
population_size,220.0,141,0.0383472725
population_size,220.0,142,0.0383472725
population_size,220.0,143,0.0383472725
population_size,220.0,144,0.0383472725
population_size,220.0,145,0.0383472725
population_size,220.0,146,0.0383472725
population_size,220.0,147,0.0383472725
population_size,220.0,148,0.0383472725
population_size,220.0,149,0.0383472725
population_size,220.0,150,0.0383472725
population_size,220.0,151,0.0383472725
population_size,220.0,152,0.0383472725
population_size,220.0,153,0.0383472725
population_size,220.0,154,0.0383472725
population_size,220.0,155,0.0383472725
population_size,220.0,156,0.0383472725
population_size,220.0,157,0.0383472725
population_size,220.0,158,0.0383472725
population_size,220.0,159,0.0383472725
population_size,220.0,160,0.0383472725
population_size,220.0,161,0.0383472725
population_size,220.0,162,0.0383472725
population_size,220.0,163,0.0382723755
population_size,220.0,164,0.0382723755
population_size,220.0,165,0.0382723755
population_size,220.0,166,0.0381974785
population_size,220.0,167,0.0381974785
population_size,220.0,168,0.0381974785
population_size,220.0,169,0.0381974785
population_size,220.0,170,0.0381974785
population_size,220.0,171,0.0381974785
population_size,220.0,172,0.0381974785
population_size,220.0,173,0.0381974785
population_size,220.0,174,0.0381974785
population_size,220.0,175,0.0381974785
population_size,220.0,176,0.0381974785
population_size,220.0,177,0.0381974785
population_size,220.0,178,0.0381974785
population_size,220.0,179,0.0381974785
population_size,220.0,180,0.0381974785
population_size,220.0,181,0.0381974785
population_size,220.0,182,0.0381974785
