parameter,value,elapsed_sec,final_best_negative_share,global_best_negative_share,global_best_negative_count
population_size,140.0,3.666040,0.0406191487,0.0406191487,1627
population_size,220.0,5.459761,0.0381974785,0.0381225815,1527
population_size,280.0,6.967873,0.0381974785,0.0381974785,1530
population_size,340.0,8.612920,0.0379727874,0.0379727874,1521
cxpb,0.5,5.106931,0.0383223068,0.0383223068,1535
cxpb,0.6,5.511127,0.0384221695,0.0384221695,1539
cxpb,0.7,6.014596,0.0382723755,0.0382723755,1533
mutpb,0.2,5.467278,0.0384471352,0.0384471352,1540
mutpb,0.25,5.760319,0.0381225815,0.0381225815,1527
mutpb,0.3,5.723976,0.0386218949,0.0386218949,1547
mutpb,0.35,5.829757,0.0381475471,0.0381475471,1528
tournsize,2.0,5.859329,0.0380976158,0.0380976158,1526
tournsize,3.0,5.668310,0.0386967919,0.0386218949,1547
tournsize,4.0,9.360457,0.0389464486,0.0389464486,1560
