parameter,value,generation,best_negative_share
population_size,120.0,0,0.1410061166
population_size,120.0,1,0.1408563226
population_size,120.0,2,0.1408563226
population_size,120.0,3,0.1384346524
population_size,120.0,4,0.1382848583
population_size,120.0,5,0.1381100986
population_size,120.0,6,0.1381100986
population_size,120.0,7,0.1362127075
population_size,120.0,8,0.1352390463
population_size,160.0,0,0.1502184496
population_size,160.0,1,0.1417051554
population_size,160.0,2,0.1456247659
population_size,160.0,3,0.1448757958
population_size,160.0,4,0.1384096867
population_size,160.0,5,0.1251529147
population_size,160.0,6,0.1196854325
population_size,160.0,7,0.1060292098
population_size,160.0,8,0.1051054800
cxpb,0.5,0,0.1480714018
cxpb,0.5,1,0.1463987018
cxpb,0.5,2,0.1445013107
cxpb,0.5,3,0.1376107852
cxpb,0.5,4,0.1272999626
cxpb,0.5,5,0.1272999626
cxpb,0.5,6,0.1272999626
cxpb,0.5,7,0.1270003745
cxpb,0.5,8,0.1205841967
cxpb,0.7,0,0.1321932343
cxpb,0.7,1,0.1396579703
cxpb,0.7,2,0.1027587068
cxpb,0.7,3,0.1027587068
cxpb,0.7,4,0.0812632630
cxpb,0.7,5,0.0800898764
cxpb,0.7,6,0.0800898764
cxpb,0.7,7,0.0760204719
cxpb,0.7,8,0.0754961927
mutpb,0.2,0,0.1474971914
mutpb,0.2,1,0.1485457496
mutpb,0.2,2,0.1302958432
mutpb,0.2,3,0.1126451130
mutpb,0.2,4,0.0812133317
mutpb,0.2,5,0.0650605418
mutpb,0.2,6,0.0520284609
mutpb,0.2,7,0.0520284609
mutpb,0.2,8,0.0520284609
mutpb,0.35,0,0.1485457496
mutpb,0.35,1,0.1485457496
mutpb,0.35,2,0.1135938085
mutpb,0.35,3,0.1135938085
mutpb,0.35,4,0.0656846836
mutpb,0.35,5,0.0659593060
mutpb,0.35,6,0.0655099239
mutpb,0.35,7,0.0642866059
mutpb,0.35,8,0.0628635626
tournsize,2.0,0,0.1511921108
tournsize,2.0,1,0.1523904631
tournsize,2.0,2,0.1229309699
tournsize,2.0,3,0.1229309699
tournsize,2.0,4,0.1195106728
tournsize,2.0,5,0.1174634877
tournsize,2.0,6,0.1158906504
tournsize,2.0,7,0.1174634877
tournsize,2.0,8,0.1174385220
tournsize,4.0,0,0.1436774435
tournsize,4.0,1,0.1230807639
tournsize,4.0,2,0.1228061416
tournsize,4.0,3,0.1048558232
tournsize,4.0,4,0.0987641992
tournsize,4.0,5,0.0752715017
tournsize,4.0,6,0.0745474972
tournsize,4.0,7,0.0675321433
tournsize,4.0,8,0.0675321433
