hyperparameter,hyperparameter_value,interval_id,lithotype,depth_start,depth_end,sample_count,local_score,evals,elapsed_sec,generations_ran,seed
cxpb,0.4,0,2,2920,2935,76,0.1957894737,5654,0.853014,45,14776802
cxpb,0.4,1,1,2935.2,2947,60,0,4178,0.732345,33,14881531
cxpb,0.4,2,2,2947.2,2961.2,71,0.02084507042,3631,0.601899,28,14986260
cxpb,0.4,3,1,2961.4,2963.4,11,0,3279,0.44692,25,15090989
cxpb,0.4,4,2,2963.6,2970.2,34,0.03764705882,6821,0.964197,54,15195718
cxpb,0.4,5,1,2970.4,2976.8,33,0.00303030303,3242,0.440876,25,15300447
cxpb,0.4,6,2,2977,2999.8,115,0.03930434783,4905,0.787282,39,15405176
cxpb,0.45,0,2,2920,2935,76,0.195,6325,0.919321,47,15509905
cxpb,0.45,1,1,2935.2,2947,60,0,4143,0.620739,30,15614634
cxpb,0.45,2,2,2947.2,2961.2,71,0.02084507042,4491,0.816942,33,15719363
cxpb,0.45,3,1,2961.4,2963.4,11,0,3362,0.461808,25,15824092
cxpb,0.45,4,2,2963.6,2970.2,34,0.03764705882,4951,0.690777,37,15928821
cxpb,0.45,5,1,2970.4,2976.8,33,0.00303030303,3466,0.471262,25,16033550
cxpb,0.45,6,2,2977,2999.8,115,0.04017391304,7122,1.13858,54,16138279
cxpb,0.5,0,2,2920,2935,76,0.2042105263,3613,0.527736,25,16243008
cxpb,0.5,1,1,2935.2,2947,60,0,5005,0.737439,34,16347737
cxpb,0.5,2,2,2947.2,2961.2,71,0.01633802817,6897,1.01321,48,16452466
cxpb,0.5,3,1,2961.4,2963.4,11,0,3617,0.47756,25,16557195
cxpb,0.5,4,2,2963.6,2970.2,34,0.04352941176,3705,0.553079,25,16661924
cxpb,0.5,5,1,2970.4,2976.8,33,0.00303030303,3584,0.485196,25,16766653
cxpb,0.5,6,2,2977,2999.8,115,0.04017391304,5241,0.815079,37,16871382
cxpb,0.55,0,2,2920,2935,76,0.1865789474,10416,1.50586,70,16976111
cxpb,0.55,1,1,2935.2,2947,60,0,4621,0.637662,30,17080840
cxpb,0.55,2,2,2947.2,2961.2,71,0.02084507042,5389,0.780306,36,17185569
cxpb,0.55,3,1,2961.4,2963.4,11,0,3857,0.503936,25,17290298
cxpb,0.55,4,2,2963.6,2970.2,34,0.03764705882,5765,0.76837,38,17395027
cxpb,0.55,5,1,2970.4,2976.8,33,0.00303030303,3855,0.503759,25,17499756
cxpb,0.55,6,2,2977,2999.8,115,0.03930434783,7584,1.18475,51,17604485
cxpb,0.6,0,2,2920,2935,76,0.2,6291,0.882882,39,17709214
cxpb,0.6,1,1,2935.2,2947,60,0,5501,0.770897,34,17813943
cxpb,0.6,2,2,2947.2,2961.2,71,0.01633802817,6727,0.932663,42,17918672
cxpb,0.6,3,1,2961.4,2963.4,11,0,4077,0.552694,25,18023401
cxpb,0.6,4,2,2963.6,2970.2,34,0.03764705882,4654,0.634377,29,18128130
cxpb,0.6,5,1,2970.4,2976.8,33,0.00303030303,4051,0.539751,25,18232859
cxpb,0.6,6,2,2977,2999.8,115,0.04017391304,5896,0.897038,37,18337588
cxpb,0.65,0,2,2920,2935,76,0.195,10137,1.44388,61,18442317
cxpb,0.65,1,1,2935.2,2947,60,0,5218,0.741428,31,18547046
cxpb,0.65,2,2,2947.2,2961.2,71,0.02084507042,5220,0.749524,31,18651775
cxpb,0.65,3,1,2961.4,2963.4,11,0,4302,0.535377,25,18756504
cxpb,0.65,4,2,2963.6,2970.2,34,0.03764705882,5272,0.698281,31,18861233
cxpb,0.65,5,1,2970.4,2976.8,33,0.00303030303,4305,0.557004,25,18965962
cxpb,0.65,6,2,2977,2999.8,115,0.03930434783,7247,1.1118,43,19070691
cxpb,0.7,0,2,2920,2935,76,0.1957894737,6002,0.828767,34,19175420
cxpb,0.7,1,1,2935.2,2947,60,0,5053,0.669174,28,19280149
cxpb,0.7,2,2,2947.2,2961.2,71,0.01633802817,8717,1.16662,50,19384878
cxpb,0.7,3,1,2961.4,2963.4,11,0,4505,0.556428,25,19489607
cxpb,0.7,4,2,2963.6,2970.2,34,0.04352941176,4920,0.641686,28,19594336
cxpb,0.7,5,1,2970.4,2976.8,33,0.00303030303,4460,0.601998,25,19699065
cxpb,0.7,6,2,2977,2999.8,115,0.04017391304,6658,1.04608,38,19803794
cxpb,0.75,0,2,2920,2935,76,0.1936842105,9678,1.34795,53,19908523
cxpb,0.75,1,1,2935.2,2947,60,0,5378,0.720856,29,20013252
cxpb,0.75,2,2,2947.2,2961.2,71,0.01633802817,7979,1.18727,43,20117981
cxpb,0.75,3,1,2961.4,2963.4,11,0,4672,0.590155,25,20222710
cxpb,0.75,4,2,2963.6,2970.2,34,0.04058823529,5314,0.700163,29,20327439
cxpb,0.75,5,1,2970.4,2976.8,33,0.00303030303,4848,0.629391,26,20432168
cxpb,0.75,6,2,2977,2999.8,115,0.03843478261,8426,1.27197,46,20536897
