hyperparameter,hyperparameter_value,interval_id,lithotype,depth_start,depth_end,sample_count,local_score,evals,elapsed_sec,generations_ran,seed
indpb,0.02,0,2,2920,2935,76,0.1936842105,9336,1.52773,59,36036789
indpb,0.02,1,1,2935.2,2947,60,0,5062,0.75693,31,36141518
indpb,0.02,2,2,2947.2,2961.2,71,0.01633802817,6550,0.917803,41,36246247
indpb,0.02,3,1,2961.4,2963.4,11,0,3995,0.505584,25,36350976
indpb,0.02,4,2,2963.6,2970.2,34,0.03764705882,7349,1.01075,46,36455705
indpb,0.02,5,1,2970.4,2976.8,33,0.00303030303,4099,0.530635,25,36560434
indpb,0.02,6,2,2977,2999.8,115,0.04104347826,6577,1.10281,41,36665163
indpb,0.05,0,2,2920,2935,76,0.2,9049,1.28047,58,36769892
indpb,0.05,1,1,2935.2,2947,60,0,4546,0.618467,28,36874621
indpb,0.05,2,2,2947.2,2961.2,71,0.01633802817,5895,0.808738,37,36979350
indpb,0.05,3,1,2961.4,2963.4,11,0,4120,0.523384,25,37084079
indpb,0.05,4,2,2963.6,2970.2,34,0.03764705882,5045,0.715885,31,37188808
indpb,0.05,5,1,2970.4,2976.8,33,0.00303030303,4081,0.556812,25,37293537
indpb,0.05,6,2,2977,2999.8,115,0.03843478261,10375,1.64817,66,37398266
indpb,0.08,0,2,2920,2935,76,0.2,5754,0.830492,36,37502995
indpb,0.08,1,1,2935.2,2947,60,0,4690,0.648338,29,37607724
indpb,0.08,2,2,2947.2,2961.2,71,0.02084507042,5786,0.802073,36,37712453
indpb,0.08,3,1,2961.4,2963.4,11,0,4108,0.539647,25,37817182
indpb,0.08,4,2,2963.6,2970.2,34,0.03764705882,5745,0.778647,36,37921911
indpb,0.08,5,1,2970.4,2976.8,33,0.00303030303,4513,0.588196,28,38026640
indpb,0.08,6,2,2977,2999.8,115,0.03930434783,6243,0.951439,39,38131369
indpb,0.11,0,2,2920,2935,76,0.1971052632,7934,1.11082,50,38236098
indpb,0.11,1,1,2935.2,2947,60,0,4841,0.652524,30,38340827
indpb,0.11,2,2,2947.2,2961.2,71,0.02084507042,6095,0.862237,39,38445556
indpb,0.11,3,1,2961.4,2963.4,11,0,4111,0.542979,25,38550285
indpb,0.11,4,2,2963.6,2970.2,34,0.04058823529,6160,0.872899,38,38655014
indpb,0.11,5,1,2970.4,2976.8,33,0.00303030303,4116,0.560451,25,38759743
indpb,0.11,6,2,2977,2999.8,115,0.03930434783,6087,0.933194,38,38864472
indpb,0.14,0,2,2920,2935,76,0.2042105263,4243,0.591933,26,38969201
indpb,0.14,1,1,2935.2,2947,60,0,4875,0.66428,30,39073930
indpb,0.14,2,2,2947.2,2961.2,71,0.02084507042,5765,0.828513,37,39178659
indpb,0.14,3,1,2961.4,2963.4,11,0,4092,0.512214,25,39283388
indpb,0.14,4,2,2963.6,2970.2,34,0.03764705882,7531,1.00433,47,39388117
indpb,0.14,5,1,2970.4,2976.8,33,0.00303030303,4085,0.53292,25,39492846
indpb,0.14,6,2,2977,2999.8,115,0.03930434783,8009,1.20996,51,39597575
indpb,0.17,0,2,2920,2935,76,0.1957894737,8175,1.16216,52,39702304
indpb,0.17,1,1,2935.2,2947,60,0,4952,0.718967,31,39807033
indpb,0.17,2,2,2947.2,2961.2,71,0.02,6097,0.862734,38,39911762
indpb,0.17,3,1,2961.4,2963.4,11,0,4080,0.555217,25,40016491
indpb,0.17,4,2,2963.6,2970.2,34,0.03764705882,6406,0.898947,41,40121220
indpb,0.17,5,1,2970.4,2976.8,33,0.00303030303,4164,0.548453,25,40225949
indpb,0.17,6,2,2977,2999.8,115,0.03930434783,9045,1.54685,57,40330678
indpb,0.2,0,2,2920,2935,76,0.1865789474,12544,1.80741,80,40435407
indpb,0.2,1,1,2935.2,2947,60,0,4810,0.657839,30,40540136
indpb,0.2,2,2,2947.2,2961.2,71,0.02084507042,4919,0.688865,30,40644865
indpb,0.2,3,1,2961.4,2963.4,11,0,4083,0.529851,25,40749594
indpb,0.2,4,2,2963.6,2970.2,34,0.03764705882,8378,1.14709,54,40854323
indpb,0.2,5,1,2970.4,2976.8,33,0.00303030303,4050,0.554692,25,40959052
indpb,0.2,6,2,2977,2999.8,115,0.03930434783,5592,0.913643,35,41063781
indpb,0.23,0,2,2920,2935,76,0.2,6047,0.878853,38,41168510
indpb,0.23,1,1,2935.2,2947,60,0,5098,0.725647,32,41273239
indpb,0.23,2,2,2947.2,2961.2,71,0.02084507042,5893,0.830864,37,41377968
indpb,0.23,3,1,2961.4,2963.4,11,0,4044,0.525367,25,41482697
indpb,0.23,4,2,2963.6,2970.2,34,0.03764705882,5050,0.718971,32,41587426
indpb,0.23,5,1,2970.4,2976.8,33,0.00303030303,4247,0.564841,26,41692155
indpb,0.23,6,2,2977,2999.8,115,0.03930434783,7914,1.21829,50,41796884
indpb,0.26,0,2,2920,2935,76,0.1978947368,7032,0.99801,44,41901613
indpb,0.26,1,1,2935.2,2947,60,0,4602,0.620916,28,42006342
indpb,0.26,2,2,2947.2,2961.2,71,0.02,8699,1.22344,55,42111071
indpb,0.26,3,1,2961.4,2963.4,11,0,4155,0.533006,25,42215800
indpb,0.26,4,2,2963.6,2970.2,34,0.03764705882,5713,0.780688,35,42320529
indpb,0.26,5,1,2970.4,2976.8,33,0.00303030303,4174,0.566696,26,42425258
indpb,0.26,6,2,2977,2999.8,115,0.03930434783,7056,1.12587,44,42529987
indpb,0.29,0,2,2920,2935,76,0.1936842105,10021,1.474,64,42634716
indpb,0.29,1,1,2935.2,2947,60,0,4482,0.641394,28,42739445
indpb,0.29,2,2,2947.2,2961.2,71,0.02084507042,5459,0.762804,34,42844174
indpb,0.29,3,1,2961.4,2963.4,11,0,4019,0.509425,25,42948903
indpb,0.29,4,2,2963.6,2970.2,34,0.03764705882,4974,0.681411,31,43053632
indpb,0.29,5,1,2970.4,2976.8,33,0.00303030303,4145,0.544328,25,43158361
indpb,0.29,6,2,2977,2999.8,115,0.03930434783,6217,0.960049,39,43263090
indpb,0.32,0,2,2920,2935,76,0.2,5480,0.767884,34,43367819
indpb,0.32,1,1,2935.2,2947,60,0,5265,0.718182,33,43472548
indpb,0.32,2,2,2947.2,2961.2,71,0.01633802817,5932,0.853661,37,43577277
indpb,0.32,3,1,2961.4,2963.4,11,0,4082,0.697062,25,43682006
indpb,0.32,4,2,2963.6,2970.2,34,0.04058823529,6181,0.918578,38,43786735
indpb,0.32,5,1,2970.4,2976.8,33,0.00303030303,4016,0.553492,25,43891464
indpb,0.32,6,2,2977,2999.8,115,0.03930434783,7901,1.20655,50,43996193
indpb,0.35,0,2,2920,2935,76,0.2,5885,0.824673,37,44100922
indpb,0.35,1,1,2935.2,2947,60,0,4610,0.627065,29,44205651
indpb,0.35,2,2,2947.2,2961.2,71,0.01633802817,7170,1.00923,45,44310380
indpb,0.35,3,1,2961.4,2963.4,11,0,4164,0.527839,25,44415109
indpb,0.35,4,2,2963.6,2970.2,34,0.03764705882,5156,0.702852,32,44519838
indpb,0.35,5,1,2970.4,2976.8,33,0.00303030303,4235,0.557102,26,44624567
indpb,0.35,6,2,2977,2999.8,115,0.03930434783,9736,1.50327,62,44729296
indpb,0.38,0,2,2920,2935,76,0.2,7139,1.02836,45,44834025
indpb,0.38,1,1,2935.2,2947,60,0,5058,0.747102,31,44938754
indpb,0.38,2,2,2947.2,2961.2,71,0.02084507042,5302,0.75183,33,45043483
indpb,0.38,3,1,2961.4,2963.4,11,0,4153,0.561825,25,45148212
