hyperparameter,hyperparameter_value,interval_id,lithotype,depth_start,depth_end,sample_count,local_score,evals,elapsed_sec,generations_ran,seed
min_delta,1.00e-08,0,2,2920,2935,76,0.2,9891,1.59857,63,61695394
min_delta,1.00e-08,1,1,2935.2,2947,60,0,4872,0.833394,30,61800123
min_delta,1.00e-08,2,2,2947.2,2961.2,71,0.02084507042,5283,0.759506,33,61904852
min_delta,1.00e-08,3,1,2961.4,2963.4,11,0,4105,0.545652,25,62009581
min_delta,1.00e-08,4,2,2963.6,2970.2,34,0.03764705882,8474,1.19151,54,62114310
min_delta,1.00e-08,5,1,2970.4,2976.8,33,0.00303030303,4335,0.698619,26,62219039
min_delta,1.00e-08,6,2,2977,2999.8,115,0.03930434783,7109,1.10558,45,62323768
min_delta,5.00e-08,0,2,2920,2935,76,0.2,6051,0.87619,38,62428497
min_delta,5.00e-08,1,1,2935.2,2947,60,0,4938,0.71022,31,62533226
min_delta,5.00e-08,2,2,2947.2,2961.2,71,0.02084507042,5427,0.764568,34,62637955
min_delta,5.00e-08,3,1,2961.4,2963.4,11,0,4109,0.568235,25,62742684
min_delta,5.00e-08,4,2,2963.6,2970.2,34,0.03764705882,5571,0.771383,35,62847413
min_delta,5.00e-08,5,1,2970.4,2976.8,33,0.00303030303,4069,0.544098,25,62952142
min_delta,5.00e-08,6,2,2977,2999.8,115,0.03930434783,5401,0.848206,33,63056871
min_delta,1.00e-07,0,2,2920,2935,76,0.2042105263,6763,1.01446,43,63161600
min_delta,1.00e-07,1,1,2935.2,2947,60,0,4173,0.726929,26,63266329
min_delta,1.00e-07,2,2,2947.2,2961.2,71,0.02084507042,5291,0.769891,33,63371058
min_delta,1.00e-07,3,1,2961.4,2963.4,11,0,4123,0.536958,25,63475787
min_delta,1.00e-07,4,2,2963.6,2970.2,34,0.03764705882,4910,0.658909,30,63580516
min_delta,1.00e-07,5,1,2970.4,2976.8,33,0.00303030303,4072,0.530332,25,63685245
min_delta,1.00e-07,6,2,2977,2999.8,115,0.04104347826,6324,0.959876,40,63789974
min_delta,5.00e-07,0,2,2920,2935,76,0.2,5490,0.814047,34,63894703
min_delta,5.00e-07,1,1,2935.2,2947,60,0,4166,0.626114,26,63999432
min_delta,5.00e-07,2,2,2947.2,2961.2,71,0.01633802817,5334,0.732112,33,64104161
min_delta,5.00e-07,3,1,2961.4,2963.4,11,0,4054,0.520267,25,64208890
min_delta,5.00e-07,4,2,2963.6,2970.2,34,0.03764705882,8077,1.0793,51,64313619
min_delta,5.00e-07,5,1,2970.4,2976.8,33,0.00303030303,4212,0.549428,26,64418348
min_delta,5.00e-07,6,2,2977,2999.8,115,0.03930434783,9961,1.57949,63,64523077
min_delta,1.00e-06,0,2,2920,2935,76,0.2,5924,0.85613,37,64627806
min_delta,1.00e-06,1,1,2935.2,2947,60,0,4715,0.653213,29,64732535
min_delta,1.00e-06,2,2,2947.2,2961.2,71,0.02084507042,8366,1.15746,53,64837264
min_delta,1.00e-06,3,1,2961.4,2963.4,11,0,4055,0.519237,25,64941993
min_delta,1.00e-06,4,2,2963.6,2970.2,34,0.04058823529,5938,0.799572,37,65046722
min_delta,1.00e-06,5,1,2970.4,2976.8,33,0.00303030303,4111,0.553247,25,65151451
min_delta,1.00e-06,6,2,2977,2999.8,115,0.03843478261,7837,1.20699,49,65256180
min_delta,2.00e-06,0,2,2920,2935,76,0.2,6956,0.969358,44,65360909
min_delta,2.00e-06,1,1,2935.2,2947,60,0,5001,0.676507,31,65465638
min_delta,2.00e-06,2,2,2947.2,2961.2,71,0.02084507042,5227,0.722372,33,65570367
min_delta,2.00e-06,3,1,2961.4,2963.4,11,0,4148,0.529085,25,65675096
min_delta,2.00e-06,4,2,2963.6,2970.2,34,0.04058823529,5353,0.760403,33,65779825
min_delta,2.00e-06,5,1,2970.4,2976.8,33,0.00303030303,4037,0.554178,25,65884554
min_delta,2.00e-06,6,2,2977,2999.8,115,0.03843478261,11268,1.74769,72,65989283
