hyperparameter,hyperparameter_value,interval_id,lithotype,depth_start,depth_end,sample_count,local_score,evals,elapsed_sec,generations_ran,seed
mutpb,0.1,0,2,2920,2935,76,0.1957894737,5736,0.858212,39,22107832
mutpb,0.1,1,1,2935.2,2947,60,0,4915,0.82393,33,22212561
mutpb,0.1,2,2,2947.2,2961.2,71,0.0185915493,5252,0.772968,36,22317290
mutpb,0.1,3,1,2961.4,2963.4,11,0,3632,0.485222,25,22422019
mutpb,0.1,4,2,2963.6,2970.2,34,0.03764705882,7313,0.99168,50,22526748
mutpb,0.1,5,1,2970.4,2976.8,33,0.00303030303,3763,0.504897,25,22631477
mutpb,0.1,6,2,2977,2999.8,115,0.04017391304,5184,0.869738,35,22736206
mutpb,0.15,0,2,2920,2935,76,0.2,5178,0.733154,34,22840935
mutpb,0.15,1,1,2935.2,2947,60,0,4807,0.647484,32,22945664
mutpb,0.15,2,2,2947.2,2961.2,71,0.02084507042,5014,0.701214,33,23050393
mutpb,0.15,3,1,2961.4,2963.4,11,0,3785,0.505236,25,23155122
mutpb,0.15,4,2,2963.6,2970.2,34,0.04058823529,4937,0.693076,33,23259851
mutpb,0.15,5,1,2970.4,2976.8,33,0.00303030303,3819,0.511362,25,23364580
mutpb,0.15,6,2,2977,2999.8,115,0.04017391304,6509,1.03327,44,23469309
mutpb,0.2,0,2,2920,2935,76,0.2,6252,1.04337,40,23574038
mutpb,0.2,1,1,2935.2,2947,60,0,4857,0.652667,31,23678767
mutpb,0.2,2,2,2947.2,2961.2,71,0.02084507042,5193,0.72267,33,23783496
mutpb,0.2,3,1,2961.4,2963.4,11,0,3966,0.496681,25,23888225
mutpb,0.2,4,2,2963.6,2970.2,34,0.03764705882,6576,0.877657,43,23992954
mutpb,0.2,5,1,2970.4,2976.8,33,0.00303030303,3961,0.521261,25,24097683
mutpb,0.2,6,2,2977,2999.8,115,0.04017391304,9021,1.42911,59,24202412
mutpb,0.25,0,2,2920,2935,76,0.2,5608,0.801152,35,24307141
mutpb,0.25,1,1,2935.2,2947,60,0,5268,0.7053,32,24411870
mutpb,0.25,2,2,2947.2,2961.2,71,0.02084507042,4620,0.650935,29,24516599
mutpb,0.25,3,1,2961.4,2963.4,11,0,4009,0.532123,25,24621328
mutpb,0.25,4,2,2963.6,2970.2,34,0.03764705882,7813,1.06361,49,24726057
mutpb,0.25,5,1,2970.4,2976.8,33,0.00303030303,4160,0.54264,26,24830786
mutpb,0.25,6,2,2977,2999.8,115,0.04017391304,7199,1.11049,45,24935515
mutpb,0.3,0,2,2920,2935,76,0.1936842105,7461,1.03278,46,25040244
mutpb,0.3,1,1,2935.2,2947,60,0,4461,0.603171,27,25144973
mutpb,0.3,2,2,2947.2,2961.2,71,0.02084507042,6113,0.840143,37,25249702
mutpb,0.3,3,1,2961.4,2963.4,11,0,4132,0.529293,25,25354431
mutpb,0.3,4,2,2963.6,2970.2,34,0.04058823529,5316,0.739093,32,25459160
mutpb,0.3,5,1,2970.4,2976.8,33,0.00303030303,4227,0.551561,25,25563889
mutpb,0.3,6,2,2977,2999.8,115,0.03930434783,6276,0.958316,38,25668618
mutpb,0.35,0,2,2920,2935,76,0.1865789474,8431,1.16209,50,25773347
mutpb,0.35,1,1,2935.2,2947,60,0,5111,0.712105,30,25878076
mutpb,0.35,2,2,2947.2,2961.2,71,0.01633802817,6485,0.911469,38,25982805
mutpb,0.35,3,1,2961.4,2963.4,11,0,4213,0.556674,25,26087534
mutpb,0.35,4,2,2963.6,2970.2,34,0.03764705882,6152,0.835375,37,26192263
mutpb,0.35,5,1,2970.4,2976.8,33,0.00303030303,4502,0.583364,26,26296992
mutpb,0.35,6,2,2977,2999.8,115,0.03843478261,9245,1.43612,56,26401721
mutpb,0.4,0,2,2920,2935,76,0.1865789474,12483,1.74874,73,26506450
mutpb,0.4,1,1,2935.2,2947,60,0,5043,0.685445,29,26611179
mutpb,0.4,2,2,2947.2,2961.2,71,0.02084507042,5383,0.732305,31,26715908
mutpb,0.4,3,1,2961.4,2963.4,11,0,4416,0.550519,25,26820637
mutpb,0.4,4,2,2963.6,2970.2,34,0.03764705882,7765,1.02306,45,26925366
mutpb,0.4,5,1,2970.4,2976.8,33,0.00303030303,4723,0.637846,27,27030095
mutpb,0.4,6,2,2977,2999.8,115,0.04017391304,6901,1.07865,40,27134824
mutpb,0.45,0,2,2920,2935,76,0.1936842105,6572,0.947514,37,27239553
mutpb,0.45,1,1,2935.2,2947,60,0,5277,0.722556,29,27344282
mutpb,0.45,2,2,2947.2,2961.2,71,0.01633802817,8500,1.19071,48,27449011
mutpb,0.45,3,1,2961.4,2963.4,11,0,4507,0.69527,25,27553740
mutpb,0.45,4,2,2963.6,2970.2,34,0.03764705882,6776,0.908709,38,27658469
mutpb,0.45,5,1,2970.4,2976.8,33,0.00303030303,4476,0.599593,25,27763198
mutpb,0.45,6,2,2977,2999.8,115,0.04017391304,7755,1.15654,44,27867927
mutpb,0.5,0,2,2920,2935,76,0.1936842105,13007,1.88051,72,27972656
mutpb,0.5,1,1,2935.2,2947,60,0,6010,0.936839,33,28077385
mutpb,0.5,2,2,2947.2,2961.2,71,0.01633802817,9783,1.44649,54,28182114
mutpb,0.5,3,1,2961.4,2963.4,11,0,4672,0.601253,25,28286843
mutpb,0.5,4,2,2963.6,2970.2,34,0.04058823529,5508,0.7373,30,28391572
mutpb,0.5,5,1,2970.4,2976.8,33,0.00303030303,4800,0.623474,26,28496301
mutpb,0.5,6,2,2977,2999.8,115,0.03930434783,10465,1.63237,58,28601030
mutpb,0.55,0,2,2920,2935,76,0.1992105263,7473,1.03446,40,28705759
mutpb,0.55,1,1,2935.2,2947,60,0,6189,0.818559,33,28810488
mutpb,0.55,2,2,2947.2,2961.2,71,0.01633802817,7061,0.979751,38,28915217
mutpb,0.55,3,1,2961.4,2963.4,11,0,4845,0.690904,25,29019946
mutpb,0.55,4,2,2963.6,2970.2,34,0.03764705882,8147,1.25892,44,29124675
mutpb,0.55,5,1,2970.4,2976.8,33,0.00303030303,5128,0.696024,27,29229404
mutpb,0.55,6,2,2977,2999.8,115,0.03930434783,7149,1.12145,38,29334133
mutpb,0.6,0,2,2920,2935,76,0.1978947368,8312,1.16709,44,29438862
mutpb,0.6,1,1,2935.2,2947,60,0,5754,0.766925,30,29543591
mutpb,0.6,2,2,2947.2,2961.2,71,0.01633802817,7416,1.02621,39,29648320
mutpb,0.6,3,1,2961.4,2963.4,11,0,4882,0.608902,25,29753049
mutpb,0.6,4,2,2963.6,2970.2,34,0.03764705882,6850,0.903557,36,29857778
mutpb,0.6,5,1,2970.4,2976.8,33,0.00303030303,4845,0.624802,25,29962507
mutpb,0.6,6,2,2977,2999.8,115,0.03930434783,8653,1.3169,46,30067236
mutpb,0.65,0,2,2920,2935,76,0.1915789474,9758,1.34045,50,30171965
mutpb,0.65,1,1,2935.2,2947,60,0,5540,0.762906,28,30276694
