hyperparameter,hyperparameter_value,interval_id,lithotype,depth_start,depth_end,sample_count,local_score,evals,elapsed_sec,generations_ran,seed
ngen,40,0,2,2920,2935,76,0.2,6301,0.898697,40,8178875
ngen,40,1,1,2935.2,2947,60,0,4965,0.856917,31,8283604
ngen,40,2,2,2947.2,2961.2,71,0.02,6337,0.891293,40,8388333
ngen,40,3,1,2961.4,2963.4,11,0,4219,0.541161,26,8493062
ngen,40,4,2,2963.6,2970.2,34,0.03764705882,5333,0.710789,33,8597791
ngen,40,5,1,2970.4,2976.8,33,0.00303030303,4075,0.542064,25,8702520
ngen,40,6,2,2977,2999.8,115,0.04017391304,6465,0.978944,40,8807249
ngen,90,0,2,2920,2935,76,0.2,5422,0.76862,34,8911978
ngen,90,1,1,2935.2,2947,60,0,4534,0.639074,28,9016707
ngen,90,2,2,2947.2,2961.2,71,0.02084507042,4327,0.618016,27,9121436
ngen,90,3,1,2961.4,2963.4,11,0,4082,0.579819,25,9226165
ngen,90,4,2,2963.6,2970.2,34,0.03764705882,5316,0.732619,33,9330894
ngen,90,5,1,2970.4,2976.8,33,0.00303030303,4063,0.541251,25,9435623
ngen,90,6,2,2977,2999.8,115,0.03930434783,6645,1.03465,42,9540352
ngen,140,0,2,2920,2935,76,0.1971052632,11454,1.60967,72,9645081
ngen,140,1,1,2935.2,2947,60,0,5207,0.708967,32,9749810
ngen,140,2,2,2947.2,2961.2,71,0.02,5179,0.714842,32,9854539
ngen,140,3,1,2961.4,2963.4,11,0,4042,0.515591,25,9959268
ngen,140,4,2,2963.6,2970.2,34,0.04058823529,4676,0.637828,29,10063997
ngen,140,5,1,2970.4,2976.8,33,0.00303030303,4032,0.52832,25,10168726
ngen,140,6,2,2977,2999.8,115,0.04017391304,5630,0.858245,35,10273455
ngen,190,0,2,2920,2935,76,0.1957894737,6273,0.896295,40,10378184
ngen,190,1,1,2935.2,2947,60,0,5448,0.837512,34,10482913
ngen,190,2,2,2947.2,2961.2,71,0.02084507042,4682,0.663947,29,10587642
ngen,190,3,1,2961.4,2963.4,11,0,4038,0.537302,25,10692371
ngen,190,4,2,2963.6,2970.2,34,0.04352941176,4597,0.698414,28,10797100
ngen,190,5,1,2970.4,2976.8,33,0.00303030303,4401,0.599281,27,10901829
ngen,190,6,2,2977,2999.8,115,0.03843478261,9923,1.51289,63,11006558
ngen,240,0,2,2920,2935,76,0.1865789474,9189,1.2974,59,11111287
ngen,240,1,1,2935.2,2947,60,0,4877,0.677127,30,11216016
ngen,240,2,2,2947.2,2961.2,71,0.01633802817,11546,1.60776,74,11320745
ngen,240,3,1,2961.4,2963.4,11,0,4095,0.518523,25,11425474
ngen,240,4,2,2963.6,2970.2,34,0.03764705882,6893,0.936838,43,11530203
ngen,240,5,1,2970.4,2976.8,33,0.00303030303,4122,0.548516,25,11634932
ngen,240,6,2,2977,2999.8,115,0.04017391304,5797,0.90142,36,11739661
ngen,290,0,2,2920,2935,76,0.2,6123,0.908312,38,11844390
ngen,290,1,1,2935.2,2947,60,0,4876,0.691763,30,11949119
ngen,290,2,2,2947.2,2961.2,71,0.02,5705,0.894209,35,12053848
ngen,290,3,1,2961.4,2963.4,11,0,4129,0.521051,25,12158577
ngen,290,4,2,2963.6,2970.2,34,0.03764705882,4695,0.632276,29,12263306
ngen,290,5,1,2970.4,2976.8,33,0.00303030303,4128,0.54864,25,12368035
ngen,290,6,2,2977,2999.8,115,0.03930434783,12677,1.93863,81,12472764
ngen,340,0,2,2920,2935,76,0.2097368421,5185,0.735013,32,12577493
ngen,340,1,1,2935.2,2947,60,0,4878,0.655711,30,12682222
ngen,340,2,2,2947.2,2961.2,71,0.02084507042,5270,0.743896,33,12786951
ngen,340,3,1,2961.4,2963.4,11,0,4042,0.537988,25,12891680
ngen,340,4,2,2963.6,2970.2,34,0.03764705882,5675,0.769624,36,12996409
ngen,340,5,1,2970.4,2976.8,33,0.00303030303,4054,0.555996,25,13101138
ngen,340,6,2,2977,2999.8,115,0.03930434783,6562,1.0166,41,13205867
ngen,390,0,2,2920,2935,76,0.1936842105,6680,0.947885,43,13310596
ngen,390,1,1,2935.2,2947,60,0,4889,0.66669,30,13415325
ngen,390,2,2,2947.2,2961.2,71,0.01633802817,10533,1.44964,67,13520054
ngen,390,3,1,2961.4,2963.4,11,0,4064,0.519607,25,13624783
ngen,390,4,2,2963.6,2970.2,34,0.03764705882,7650,1.0622,47,13729512
ngen,390,5,1,2970.4,2976.8,33,0.00303030303,4112,0.549794,25,13834241
ngen,390,6,2,2977,2999.8,115,0.04365217391,6509,1.00014,41,13938970
ngen,400,0,2,2920,2935,76,0.1936842105,8088,1.1407,51,14043699
ngen,400,1,1,2935.2,2947,60,0,4384,0.641161,27,14148428
ngen,400,2,2,2947.2,2961.2,71,0.02084507042,4559,0.659878,28,14253157
ngen,400,3,1,2961.4,2963.4,11,0,4104,0.547144,25,14357886
ngen,400,4,2,2963.6,2970.2,34,0.03764705882,5283,0.702712,33,14462615
ngen,400,5,1,2970.4,2976.8,33,0.00303030303,4249,0.553787,26,14567344
ngen,400,6,2,2977,2999.8,115,0.03930434783,6174,0.931716,39,14672073
