hyperparameter,hyperparameter_value,interval_id,lithotype,depth_start,depth_end,sample_count,local_score,evals,elapsed_sec,generations_ran,seed
patience,0,0,2,2920,2935,76,0.2042105263,17267,2.79513,110,53631261
patience,0,1,1,2935.2,2947,60,0,17095,2.32451,110,53735990
patience,0,2,2,2947.2,2961.2,71,0.02084507042,17235,2.36915,110,53840719
patience,0,3,1,2961.4,2963.4,11,0,17151,2.2094,110,53945448
patience,0,4,2,2963.6,2970.2,34,0.04352941176,17098,2.61258,110,54050177
patience,0,5,1,2970.4,2976.8,33,0.00303030303,17269,2.34867,110,54154906
patience,0,6,2,2977,2999.8,115,0.04017391304,16999,2.64787,110,54259635
patience,15,0,2,2920,2935,76,0.2181578947,7305,1.06048,46,54364364
patience,15,1,1,2935.2,2947,60,0,2980,0.45331,18,54469093
patience,15,2,2,2947.2,2961.2,71,0.02084507042,2772,0.399049,17,54573822
patience,15,3,1,2961.4,2963.4,11,0,2456,0.32668,15,54678551
patience,15,4,2,2963.6,2970.2,34,0.03764705882,3947,0.682037,24,54783280
patience,15,5,1,2970.4,2976.8,33,0.00303030303,2745,0.389593,16,54888009
patience,15,6,2,2977,2999.8,115,0.04017391304,3914,0.633484,24,54992738
patience,30,0,2,2920,2935,76,0.2,7603,1.09911,48,55097467
patience,30,1,1,2935.2,2947,60,0,7190,0.995172,45,55202196
patience,30,2,2,2947.2,2961.2,71,0.01633802817,6770,0.92461,43,55306925
patience,30,3,1,2961.4,2963.4,11,0,4816,0.598598,30,55411654
patience,30,4,2,2963.6,2970.2,34,0.03764705882,6853,0.923964,43,55516383
patience,30,5,1,2970.4,2976.8,33,0.00303030303,4874,0.618358,30,55621112
patience,30,6,2,2977,2999.8,115,0.04017391304,6565,0.975074,41,55725841
patience,45,0,2,2920,2935,76,0.2,10024,1.46716,64,55830570
patience,45,1,1,2935.2,2947,60,0,7938,1.15576,51,55935299
patience,45,2,2,2947.2,2961.2,71,0.02084507042,7698,1.1888,49,56040028
patience,45,3,1,2961.4,2963.4,11,0,7131,0.908095,45,56144757
patience,45,4,2,2963.6,2970.2,34,0.03764705882,8831,1.16541,56,56249486
patience,45,5,1,2970.4,2976.8,33,0.00303030303,7158,0.928764,45,56354215
patience,45,6,2,2977,2999.8,115,0.03930434783,15205,2.24995,97,56458944
patience,60,0,2,2920,2935,76,0.1936842105,17190,2.33217,109,56563673
patience,60,1,1,2935.2,2947,60,0,10036,1.34845,64,56668402
patience,60,2,2,2947.2,2961.2,71,0.01633802817,14025,1.91761,90,56773131
patience,60,3,1,2961.4,2963.4,11,0,9404,1.18276,60,56877860
patience,60,4,2,2963.6,2970.2,34,0.03764705882,17236,2.48123,110,56982589
patience,60,5,1,2970.4,2976.8,33,0.00303030303,9500,1.27222,60,57087318
patience,60,6,2,2977,2999.8,115,0.03930434783,17174,2.69568,110,57192047
patience,75,0,2,2920,2935,76,0.2,13936,2.03388,89,57296776
patience,75,1,1,2935.2,2947,60,0,12557,1.79631,81,57401505
patience,75,2,2,2947.2,2961.2,71,0.02,17323,2.42427,110,57506234
patience,75,3,1,2961.4,2963.4,11,0,11784,1.52964,75,57610963
patience,75,4,2,2963.6,2970.2,34,0.03764705882,13162,1.77731,83,57715692
patience,75,5,1,2970.4,2976.8,33,0.00303030303,11843,1.62515,75,57820421
patience,75,6,2,2977,2999.8,115,0.03930434783,16008,2.45402,103,57925150
patience,90,0,2,2920,2935,76,0.1957894737,17094,2.55714,110,58029879
patience,90,1,1,2935.2,2947,60,0,14822,2.0869,95,58134608
patience,90,2,2,2947.2,2961.2,71,0.02,16246,2.35436,103,58239337
patience,90,3,1,2961.4,2963.4,11,0,14117,1.87594,90,58344066
patience,90,4,2,2963.6,2970.2,34,0.03764705882,17086,2.32401,110,58448795
patience,90,5,1,2970.4,2976.8,33,0.00303030303,14383,1.90828,92,58553524
patience,90,6,2,2977,2999.8,115,0.03843478261,17043,2.62109,110,58658253
patience,105,0,2,2920,2935,76,0.2,17163,2.92274,110,58762982
patience,105,1,1,2935.2,2947,60,0,17306,2.40793,110,58867711
patience,105,2,2,2947.2,2961.2,71,0.02,17209,2.54444,110,58972440
patience,105,3,1,2961.4,2963.4,11,0,16453,2.15422,105,59077169
patience,105,4,2,2963.6,2970.2,34,0.04058823529,17000,2.3334,110,59181898
patience,105,5,1,2970.4,2976.8,33,0.00303030303,16436,2.24497,106,59286627
patience,105,6,2,2977,2999.8,115,0.03930434783,16914,2.5875,110,59391356
patience,120,0,2,2920,2935,76,0.1936842105,17133,2.40315,110,59496085
patience,120,1,1,2935.2,2947,60,0,17091,2.37979,110,59600814
patience,120,2,2,2947.2,2961.2,71,0.01633802817,16997,2.41609,110,59705543
patience,120,3,1,2961.4,2963.4,11,0,17188,2.35674,110,59810272
patience,120,4,2,2963.6,2970.2,34,0.03764705882,17187,2.35135,110,59915001
patience,120,5,1,2970.4,2976.8,33,0.00303030303,17271,2.41299,110,60019730
patience,120,6,2,2977,2999.8,115,0.03930434783,17089,2.67775,110,60124459
patience,135,0,2,2920,2935,76,0.1936842105,17212,2.45663,110,60229188
patience,135,1,1,2935.2,2947,60,0,17162,2.40537,110,60333917
patience,135,2,2,2947.2,2961.2,71,0.02084507042,17021,2.81636,110,60438646
patience,135,3,1,2961.4,2963.4,11,0,17063,2.21578,110,60543375
patience,135,4,2,2963.6,2970.2,34,0.03764705882,17006,2.31245,110,60648104
patience,135,5,1,2970.4,2976.8,33,0.00303030303,17232,2.3136,110,60752833
patience,135,6,2,2977,2999.8,115,0.03843478261,17068,2.64026,110,60857562
patience,150,0,2,2920,2935,76,0.195,17184,2.48756,110,60962291
patience,150,1,1,2935.2,2947,60,0,17357,2.33464,110,61067020
patience,150,2,2,2947.2,2961.2,71,0.01633802817,17197,2.40752,110,61171749
patience,150,3,1,2961.4,2963.4,11,0,16986,2.20755,110,61276478
patience,150,4,2,2963.6,2970.2,34,0.03764705882,17130,2.40467,110,61381207
patience,150,5,1,2970.4,2976.8,33,0.00303030303,17201,2.29769,110,61485936
patience,150,6,2,2977,2999.8,115,0.03930434783,17262,2.60466,110,61590665
