hyperparameter,hyperparameter_value,interval_id,lithotype,depth_start,depth_end,sample_count,local_score,evals,elapsed_sec,generations_ran,seed
population_size,200,0,2,2920,2935,76,0.2,6078,0.843203,42,114742
population_size,200,1,1,2935.2,2947,60,0,3991,0.524858,27,219471
population_size,200,2,2,2947.2,2961.2,71,0.02084507042,4945,0.757753,34,324200
population_size,200,3,1,2961.4,2963.4,11,0,3737,0.4646,25,428929
population_size,200,4,2,2963.6,2970.2,34,0.03764705882,6498,0.836097,45,533658
population_size,200,5,1,2970.4,2976.8,33,0.00303030303,3700,0.477379,25,638387
population_size,200,6,2,2977,2999.8,115,0.04626086957,5954,0.897482,41,743116
population_size,280,0,2,2920,2935,76,0.1865789474,10670,1.46225,53,847845
population_size,280,1,1,2935.2,2947,60,0,6424,0.829024,31,952574
population_size,280,2,2,2947.2,2961.2,71,0.02084507042,6802,0.924702,33,1057303
population_size,280,3,1,2961.4,2963.4,11,0,5255,0.647986,25,1162032
population_size,280,4,2,2963.6,2970.2,34,0.03764705882,5957,0.751102,29,1266761
population_size,280,5,1,2970.4,2976.8,33,0.00303030303,5132,0.647096,25,1371490
population_size,280,6,2,2977,2999.8,115,0.05373913043,9475,1.38621,47,1476219
population_size,360,0,2,2920,2935,76,0.1936842105,10500,1.39745,40,1580948
population_size,360,1,1,2935.2,2947,60,0,7952,1.03928,30,1685677
population_size,360,2,2,2947.2,2961.2,71,0.02,8416,1.17544,32,1790406
population_size,360,3,1,2961.4,2963.4,11,0,6594,0.837568,25,1895135
population_size,360,4,2,2963.6,2970.2,34,0.03764705882,9631,1.23522,37,1999864
population_size,360,5,1,2970.4,2976.8,33,0.00303030303,6696,0.8618,25,2104593
population_size,360,6,2,2977,2999.8,115,0.04017391304,9625,1.41979,37,2209322
population_size,440,0,2,2920,2935,76,0.1936842105,12175,1.62866,38,2314051
population_size,440,1,1,2935.2,2947,60,0,9766,1.28467,30,2418780
population_size,440,2,2,2947.2,2961.2,71,0.02084507042,10250,1.3841,32,2523509
population_size,440,3,1,2961.4,2963.4,11,0,8143,1.02612,25,2628238
population_size,440,4,2,2963.6,2970.2,34,0.03764705882,13331,1.75137,42,2732967
population_size,440,5,1,2970.4,2976.8,33,0.00303030303,8140,1.03248,25,2837696
population_size,440,6,2,2977,2999.8,115,0.03843478261,14826,2.19564,47,2942425
population_size,520,0,2,2920,2935,76,0.1957894737,15500,2.09381,41,3047154
population_size,520,1,1,2935.2,2947,60,0,10713,1.40095,28,3151883
population_size,520,2,2,2947.2,2961.2,71,0.01633802817,17505,2.39505,47,3256612
population_size,520,3,1,2961.4,2963.4,11,0,9709,1.19331,25,3361341
population_size,520,4,2,2963.6,2970.2,34,0.03764705882,11816,1.49796,31,3466070
population_size,520,5,1,2970.4,2976.8,33,0.00303030303,9636,1.20962,25,3570799
population_size,520,6,2,2977,2999.8,115,0.03930434783,14352,2.10331,38,3675528
population_size,600,0,2,2920,2935,76,0.1936842105,17451,2.3815,40,3780257
population_size,600,1,1,2935.2,2947,60,0,12724,1.67842,29,3884986
population_size,600,2,2,2947.2,2961.2,71,0.02,16638,2.37946,38,3989715
population_size,600,3,1,2961.4,2963.4,11,0,11078,1.3781,25,4094444
population_size,600,4,2,2963.6,2970.2,34,0.03294117647,22813,2.94218,53,4199173
population_size,600,5,1,2970.4,2976.8,33,0.00303030303,11200,1.4442,25,4303902
population_size,600,6,2,2977,2999.8,115,0.03843478261,18594,2.79161,43,4408631
population_size,680,0,2,2920,2935,76,0.1936842105,26023,3.64085,53,4513360
population_size,680,1,1,2935.2,2947,60,0,14066,1.83054,28,4618089
population_size,680,2,2,2947.2,2961.2,71,0.01633802817,21963,2.96886,45,4722818
population_size,680,3,1,2961.4,2963.4,11,0,12459,1.56583,25,4827547
population_size,680,4,2,2963.6,2970.2,34,0.03764705882,22581,2.91187,46,4932276
population_size,680,5,1,2970.4,2976.8,33,0.00303030303,12625,1.5982,25,5037005
population_size,680,6,2,2977,2999.8,115,0.03843478261,20332,3.06952,41,5141734
population_size,760,0,2,2920,2935,76,0.1936842105,26695,3.69221,49,5246463
population_size,760,1,1,2935.2,2947,60,0,16284,2.15682,29,5351192
population_size,760,2,2,2947.2,2961.2,71,0.01633802817,22206,2.97077,40,5455921
population_size,760,3,1,2961.4,2963.4,11,0,14036,1.77965,25,5560650
population_size,760,4,2,2963.6,2970.2,34,0.03764705882,15673,2.09145,28,5665379
population_size,760,5,1,2970.4,2976.8,33,0.00303030303,14111,1.90572,25,5770108
population_size,760,6,2,2977,2999.8,115,0.04017391304,19989,2.96386,36,5874837
population_size,840,0,2,2920,2935,76,0.1936842105,26682,3.63796,44,5979566
population_size,840,1,1,2935.2,2947,60,0,17882,2.36587,29,6084295
population_size,840,2,2,2947.2,2961.2,71,0.0185915493,23007,3.0689,38,6189024
population_size,840,3,1,2961.4,2963.4,11,0,15425,1.88843,25,6293753
population_size,840,4,2,2963.6,2970.2,34,0.03764705882,18558,2.40763,30,6398482
population_size,840,5,1,2970.4,2976.8,33,0.00303030303,15472,1.9849,25,6503211
population_size,840,6,2,2977,2999.8,115,0.03843478261,28409,4.16779,47,6607940
population_size,920,0,2,2920,2935,76,0.1865789474,29895,4.1,45,6712669
population_size,920,1,1,2935.2,2947,60,0,19086,2.54973,28,6817398
population_size,920,2,2,2947.2,2961.2,71,0.01633802817,22303,2.97283,33,6922127
population_size,920,3,1,2961.4,2963.4,11,0,17163,2.11831,25,7026856
population_size,920,4,2,2963.6,2970.2,34,0.03764705882,22979,3.01883,34,7131585
population_size,920,5,1,2970.4,2976.8,33,0.00303030303,17048,2.20988,25,7236314
population_size,920,6,2,2977,2999.8,115,0.03756521739,40208,6.08816,61,7341043
population_size,1000,0,2,2920,2935,76,0.1936842105,26370,3.70402,36,7445772
population_size,1000,1,1,2935.2,2947,60,0,20521,2.69672,28,7550501
population_size,1000,2,2,2947.2,2961.2,71,0.0185915493,31807,4.28719,44,7655230
population_size,1000,3,1,2961.4,2963.4,11,0,18315,2.30997,25,7759959
population_size,1000,4,2,2963.6,2970.2,34,0.03764705882,21993,2.84931,30,7864688
population_size,1000,5,1,2970.4,2976.8,33,0.00303030303,18370,2.39304,25,7969417
population_size,1000,6,2,2977,2999.8,115,0.03930434783,28336,4.37478,39,8074146
