hyperparameter,hyperparameter_value,interval_id,lithotype,depth_start,depth_end,sample_count,local_score,evals,elapsed_sec,generations_ran,seed
tournsize,2,0,2,2920,2935,76,0.1936842105,8557,1.19742,54,47033334
tournsize,2,1,1,2935.2,2947,60,0,5441,0.943855,34,47138063
tournsize,2,2,2,2947.2,2961.2,71,0.01633802817,8509,1.21007,54,47242792
tournsize,2,3,1,2961.4,2963.4,11,0,3965,0.682457,25,47347521
tournsize,2,4,2,2963.6,2970.2,34,0.03764705882,7620,1.07819,48,47452250
tournsize,2,5,1,2970.4,2976.8,33,0.00303030303,4332,0.601181,26,47556979
tournsize,2,6,2,2977,2999.8,115,0.03930434783,7859,1.21597,49,47661708
tournsize,4,0,2,2920,2935,76,0.1886842105,8726,1.29071,55,47766437
tournsize,4,1,1,2935.2,2947,60,0,4645,0.636417,29,47871166
tournsize,4,2,2,2947.2,2961.2,71,0.01633802817,5507,0.761356,34,47975895
tournsize,4,3,1,2961.4,2963.4,11,0,4109,0.523768,25,48080624
tournsize,4,4,2,2963.6,2970.2,34,0.04352941176,4478,0.610945,28,48185353
tournsize,4,5,1,2970.4,2976.8,33,0.00303030303,4148,0.539859,25,48290082
tournsize,4,6,2,2977,2999.8,115,0.03930434783,7129,1.12454,45,48394811
tournsize,6,0,2,2920,2935,76,0.2042105263,9331,1.37215,59,48499540
tournsize,6,1,1,2935.2,2947,60,0,4712,0.667687,29,48604269
tournsize,6,2,2,2947.2,2961.2,71,0.01633802817,7640,1.11466,49,48708998
tournsize,6,3,1,2961.4,2963.4,11,0,4055,0.544823,25,48813727
tournsize,6,4,2,2963.6,2970.2,34,0.03764705882,4859,0.661296,30,48918456
tournsize,6,5,1,2970.4,2976.8,33,0.00303030303,4113,0.548597,25,49023185
tournsize,6,6,2,2977,2999.8,115,0.04017391304,5693,0.871027,36,49127914
tournsize,8,0,2,2920,2935,76,0.2,5472,0.781922,34,49232643
tournsize,8,1,1,2935.2,2947,60,0,4267,0.591029,26,49337372
tournsize,8,2,2,2947.2,2961.2,71,0.01633802817,8685,1.23955,55,49442101
tournsize,8,3,1,2961.4,2963.4,11,0,4099,0.539052,25,49546830
tournsize,8,4,2,2963.6,2970.2,34,0.04352941176,4621,0.654338,29,49651559
tournsize,8,5,1,2970.4,2976.8,33,0.00303030303,4060,0.563045,25,49756288
tournsize,8,6,2,2977,2999.8,115,0.0427826087,5245,0.836947,32,49861017
tournsize,10,0,2,2920,2935,76,0.2,6309,0.946022,40,49965746
tournsize,10,1,1,2935.2,2947,60,0,4602,0.647487,28,50070475
tournsize,10,2,2,2947.2,2961.2,71,0.0185915493,8212,1.18545,52,50175204
tournsize,10,3,1,2961.4,2963.4,11,0,4106,0.548429,25,50279933
tournsize,10,4,2,2963.6,2970.2,34,0.03764705882,7731,1.08159,49,50384662
tournsize,10,5,1,2970.4,2976.8,33,0.00303030303,4055,0.567794,25,50489391
tournsize,10,6,2,2977,2999.8,115,0.04260869565,7952,1.2523,50,50594120
tournsize,12,0,2,2920,2935,76,0.2,9680,1.44343,61,50698849
tournsize,12,1,1,2935.2,2947,60,0,4593,0.653522,28,50803578
tournsize,12,2,2,2947.2,2961.2,71,0.02,4982,0.737913,31,50908307
tournsize,12,3,1,2961.4,2963.4,11,0,4057,0.562079,25,51013036
tournsize,12,4,2,2963.6,2970.2,34,0.03764705882,4962,0.725016,31,51117765
tournsize,12,5,1,2970.4,2976.8,33,0.00303030303,4252,0.599416,26,51222494
tournsize,12,6,2,2977,2999.8,115,0.04104347826,5053,0.958286,32,51327223
tournsize,14,0,2,2920,2935,76,0.1936842105,8130,1.20189,51,51431952
tournsize,14,1,1,2935.2,2947,60,0,4479,0.63457,28,51536681
tournsize,14,2,2,2947.2,2961.2,71,0.0185915493,8571,1.24838,54,51641410
tournsize,14,3,1,2961.4,2963.4,11,0,4008,0.536566,25,51746139
tournsize,14,4,2,2963.6,2970.2,34,0.04058823529,5853,0.843144,37,51850868
tournsize,14,5,1,2970.4,2976.8,33,0.00303030303,4079,0.565687,25,51955597
tournsize,14,6,2,2977,2999.8,115,0.04869565217,7671,1.23317,48,52060326
tournsize,16,0,2,2920,2935,76,0.2042105263,9338,1.46263,59,52165055
tournsize,16,1,1,2935.2,2947,60,0,4745,0.697885,29,52269784
tournsize,16,2,2,2947.2,2961.2,71,0.02084507042,4341,0.658764,27,52374513
tournsize,16,3,1,2961.4,2963.4,11,0,4056,0.552482,25,52479242
tournsize,16,4,2,2963.6,2970.2,34,0.03764705882,6083,0.884818,38,52583971
tournsize,16,5,1,2970.4,2976.8,33,0.00303030303,4057,0.598258,25,52688700
tournsize,16,6,2,2977,2999.8,115,0.03930434783,6527,1.03639,41,52793429
tournsize,18,0,2,2920,2935,76,0.2,5114,0.761113,32,52898158
tournsize,18,1,1,2935.2,2947,60,0,4425,0.644894,27,53002887
tournsize,18,2,2,2947.2,2961.2,71,0.02084507042,4533,0.666796,28,53107616
tournsize,18,3,1,2961.4,2963.4,11,0,4126,0.562242,25,53212345
tournsize,18,4,2,2963.6,2970.2,34,0.03764705882,7757,1.11903,49,53317074
tournsize,18,5,1,2970.4,2976.8,33,0.00303030303,4152,0.585211,26,53421803
tournsize,18,6,2,2977,2999.8,115,0.04104347826,5369,0.879186,33,53526532
