depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1697.3500,1,0.304808,0.028005,0.166696,0.311497,0.188994,0.410370,0.651404,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1697.5500,1,0.295730,0.031629,0.195448,0.273053,0.204140,0.411328,0.582823,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1697.7500,1,0.260309,0.039429,0.204111,0.272057,0.224094,0.386307,0.571347,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1697.9500,1,0.231410,0.047360,0.187863,0.290464,0.242902,0.368209,0.607250,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1698.1500,1,0.187732,0.061622,0.153993,0.313968,0.282685,0.347621,0.670927,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1698.3500,1,0.211497,0.051089,0.153123,0.346723,0.237568,0.344406,0.693659,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1698.5500,1,0.222275,0.031878,0.159296,0.385793,0.200758,0.317992,0.707761,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1698.7500,1,0.148565,0.041739,0.153533,0.399230,0.256933,0.256106,0.722245,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1698.9500,1,0.163707,0.041927,0.148944,0.411571,0.233851,0.268400,0.734273,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1699.1500,1,0.128836,0.057672,0.130604,0.422818,0.260069,0.252062,0.764006,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1699.3500,1,0.118759,0.055141,0.116798,0.434568,0.274734,0.239775,0.788167,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1699.5500,1,0.161684,0.033469,0.105807,0.462447,0.236592,0.255634,0.813804,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1699.7500,1,0.134192,0.031727,0.096874,0.485062,0.252144,0.221860,0.833531,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1699.9500,1,0.014269,0.072706,0.092235,0.448779,0.372010,0.138498,0.829514,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1700.1500,1,0.000000,0.112920,0.099831,0.395436,0.391813,0.185667,0.798430,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1700.3500,1,0.086925,0.099983,0.129907,0.420398,0.262787,0.253534,0.763936,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1700.5500,1,0.182255,0.071210,0.149025,0.441875,0.155634,0.300184,0.747800,пористый,sand_arkose_wacke,пористый аркозовый песчаник
1700.7500,1,0.118700,0.083185,0.140626,0.459154,0.198336,0.251832,0.765537,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1700.9500,1,0.040510,0.088107,0.140723,0.471540,0.259120,0.173600,0.770159,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1701.1500,1,0.024737,0.066726,0.157614,0.475506,0.275417,0.126229,0.751052,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1701.3500,1,0.058636,0.063561,0.166148,0.464149,0.247506,0.162389,0.736397,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1701.5500,1,0.064977,0.080543,0.165079,0.462951,0.226451,0.188120,0.737148,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1701.7500,1,0.048443,0.108460,0.165648,0.452372,0.225077,0.202475,0.731970,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1701.9500,1,0.032108,0.145137,0.172501,0.419097,0.231158,0.230534,0.708415,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1702.1500,1,0.065855,0.154263,0.165239,0.403952,0.210692,0.278875,0.709695,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1702.3500,1,0.116868,0.158716,0.144606,0.404660,0.175150,0.334102,0.736729,пористый,sand_arkose_wacke,пористый аркозовый песчаник
1702.5500,1,0.123966,0.164005,0.135591,0.407637,0.168800,0.346453,0.750397,пористый,sand_subarkose_wacke,пористый субаркозовый песчаник
1702.7500,1,0.134250,0.151248,0.144952,0.414216,0.155333,0.338001,0.740772,пористый,sand_arkose_wacke,пористый аркозовый песчаник
1702.9500,1,0.151943,0.129849,0.166530,0.416473,0.135205,0.325848,0.714358,пористый,sand_arkose_wacke,пористый аркозовый песчаник
1703.1500,1,0.154335,0.101066,0.166172,0.443951,0.134476,0.295082,0.727642,пористый,sand_arkose_wacke,пористый аркозовый песчаник
1703.3500,1,0.205375,0.048335,0.163882,0.516003,0.066404,0.271756,0.758956,плотный,sand_subarkose_wacke,плотный субаркозовый песчаник
1703.5500,1,0.208188,0.037240,0.167079,0.587492,0.000000,0.245429,0.778578,плотный,sand_subarkose_wacke,плотный субаркозовый песчаник
1703.7500,1,0.122351,0.064442,0.159579,0.628200,0.025427,0.191667,0.797431,плотный,sand_subarkose_wacke,плотный субаркозовый песчаник
1703.9500,1,0.044502,0.095672,0.143247,0.607213,0.109366,0.157387,0.809121,пористый,sand_subarkose_wacke,пористый субаркозовый песчаник
1704.1500,1,0.001054,0.093210,0.139652,0.550231,0.215853,0.120212,0.797571,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1704.3500,1,0.026915,0.063896,0.154058,0.496275,0.258856,0.122528,0.763108,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1704.5500,1,0.030800,0.056798,0.152603,0.473712,0.286087,0.122702,0.756348,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1704.7500,1,0.015622,0.056233,0.164527,0.473498,0.290120,0.101221,0.742131,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1704.9500,1,0.027179,0.044378,0.194971,0.463077,0.270394,0.098077,0.703714,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1705.1500,1,0.029862,0.046338,0.199933,0.459559,0.264307,0.103577,0.696838,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1705.3500,1,0.021656,0.057967,0.191762,0.458410,0.270204,0.109103,0.705059,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
