start_depth,end_depth,thickness,lithotype_code,class_key,class_name,sample_count
1778.5100,1779.1100,0.6000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,3
1779.1100,1779.3100,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1779.3100,1779.9100,0.6000,2,seal_kaolinite_clay,каолинитовая тяжелая глина,3
1779.9100,1780.9100,1.0000,2,seal_kaolinite_argillite,каолинитовая легкая глина,5
1780.9100,1781.1100,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1781.1100,1781.5100,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1781.5100,1781.7100,0.2000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,1
1781.7100,1782.5100,0.8000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,4
1782.5100,1782.9100,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1782.9100,1783.1100,0.2000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,1
1783.1100,1783.5100,0.4000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,2
1783.5100,1783.9100,0.4000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,2
1783.9100,1784.3100,0.4000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,2
1784.3100,1784.7100,0.4000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,2
1784.7100,1785.3100,0.6000,2,seal_kaolinite_argillite,каолинитовая легкая глина,3
1785.3100,1785.7100,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1785.7100,1785.9100,0.2000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,1
1785.9100,1786.1100,0.2000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,1
1786.1100,1786.3100,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
1786.3100,1786.7100,0.4000,2,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина,2
1786.7100,1787.5100,0.8000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,4
1787.5100,1788.1100,0.6000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,3
1788.1100,1789.1100,1.0000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,5
1789.1100,1790.9100,1.8000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,9
1790.9100,1791.3100,0.4000,2,seal_silty_argillite,песчанистая легкая глина,2
1791.3100,1791.7100,0.4000,2,seal_kaolinite_argillite,каолинитовая легкая глина,2
1791.7100,1792.1100,0.4000,2,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина,2
1792.1100,1792.5100,0.4000,2,seal_hydromica_clay,гидрослюдистая тяжелая глина,2
1792.5100,1792.7100,0.2000,2,seal_hydromica_argillite,гидрослюдистая легкая глина,1
1792.7100,1793.3100,0.6000,2,seal_silty_argillite,песчанистая легкая глина,3
