parameter,value,generation,quality_score,negative_share,glin_bad_share,coll_bad_share,tested_matrices
population_size,220.0,0,0.0739939709,0.0820000000,0.0743243243,0.0096153846,1540
population_size,220.0,1,0.0733182952,0.0820000000,0.0675675676,0.0096153846,2640
population_size,220.0,2,0.0724561331,0.0805000000,0.0709459459,0.0096153846,3596
population_size,220.0,3,0.0670426195,0.0750000000,0.0608108108,0.0096153846,4687
population_size,220.0,4,0.0636291060,0.0720000000,0.0506756757,0.0096153846,5876
population_size,220.0,5,0.0629534304,0.0720000000,0.0439189189,0.0096153846,6880
population_size,220.0,6,0.0629534304,0.0720000000,0.0439189189,0.0096153846,7977
population_size,220.0,7,0.0618777547,0.0715000000,0.0371621622,0.0096153846,9047
population_size,220.0,8,0.0615399168,0.0715000000,0.0337837838,0.0096153846,10093
population_size,220.0,9,0.0614777547,0.0710000000,0.0371621622,0.0096153846,11190
population_size,220.0,10,0.0614777547,0.0710000000,0.0371621622,0.0096153846,12244
population_size,220.0,11,0.0614777547,0.0710000000,0.0371621622,0.0096153846,13317
population_size,220.0,12,0.0611399168,0.0710000000,0.0337837838,0.0096153846,14396
population_size,220.0,13,0.0611399168,0.0710000000,0.0337837838,0.0096153846,15472
population_size,220.0,14,0.0610777547,0.0705000000,0.0371621622,0.0096153846,16531
population_size,220.0,15,0.0602777547,0.0695000000,0.0371621622,0.0096153846,17573
population_size,220.0,16,0.0602777547,0.0695000000,0.0371621622,0.0096153846,18689
population_size,220.0,17,0.0599399168,0.0695000000,0.0337837838,0.0096153846,19807
population_size,220.0,18,0.0599399168,0.0695000000,0.0337837838,0.0096153846,20939
population_size,220.0,19,0.0599399168,0.0695000000,0.0337837838,0.0096153846,22066
population_size,220.0,20,0.0599399168,0.0695000000,0.0337837838,0.0096153846,23113
population_size,220.0,21,0.0596020790,0.0695000000,0.0304054054,0.0096153846,24145
population_size,220.0,22,0.0596020790,0.0695000000,0.0304054054,0.0096153846,25244
population_size,220.0,23,0.0596020790,0.0695000000,0.0304054054,0.0096153846,26380
population_size,220.0,24,0.0596020790,0.0695000000,0.0304054054,0.0096153846,27414
population_size,220.0,25,0.0596020790,0.0695000000,0.0304054054,0.0096153846,28474
population_size,220.0,26,0.0596020790,0.0695000000,0.0304054054,0.0096153846,29298
population_size,220.0,27,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30081
population_size,220.0,28,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30847
population_size,220.0,29,0.0596020790,0.0695000000,0.0304054054,0.0096153846,31612
population_size,220.0,30,0.0596020790,0.0695000000,0.0304054054,0.0096153846,32420
population_size,220.0,31,0.0592642412,0.0695000000,0.0270270270,0.0096153846,33205
population_size,220.0,32,0.0592642412,0.0695000000,0.0270270270,0.0096153846,33931
population_size,220.0,33,0.0592642412,0.0695000000,0.0270270270,0.0096153846,34487
population_size,220.0,34,0.0592642412,0.0695000000,0.0270270270,0.0096153846,35067
population_size,220.0,35,0.0592642412,0.0695000000,0.0270270270,0.0096153846,35711
population_size,220.0,36,0.0591399168,0.0685000000,0.0337837838,0.0096153846,36327
population_size,220.0,37,0.0591399168,0.0685000000,0.0337837838,0.0096153846,36883
population_size,220.0,38,0.0591399168,0.0685000000,0.0337837838,0.0096153846,37551
population_size,220.0,39,0.0591399168,0.0685000000,0.0337837838,0.0096153846,38163
population_size,220.0,40,0.0591399168,0.0685000000,0.0337837838,0.0096153846,38799
population_size,220.0,41,0.0591399168,0.0685000000,0.0337837838,0.0096153846,39270
population_size,220.0,42,0.0591399168,0.0685000000,0.0337837838,0.0096153846,39729
population_size,220.0,43,0.0591399168,0.0685000000,0.0337837838,0.0096153846,40031
population_size,220.0,44,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40329
population_size,220.0,45,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40669
population_size,220.0,46,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40985
population_size,220.0,47,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41279
population_size,220.0,48,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41581
population_size,220.0,49,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41925
population_size,220.0,50,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42251
population_size,220.0,51,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42547
population_size,220.0,52,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42855
population_size,220.0,53,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43157
population_size,220.0,54,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43473
population_size,220.0,55,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43797
population_size,220.0,56,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44117
population_size,220.0,57,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44279
population_size,220.0,58,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44425
population_size,220.0,59,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44595
population_size,220.0,60,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44728
population_size,220.0,61,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44881
population_size,220.0,62,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45032
population_size,220.0,63,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45188
