parameter,value,generation,best_negative_share
population_size,180.0,0,0.1720000000
population_size,180.0,1,0.1715000000
population_size,180.0,2,0.1630000000
population_size,180.0,3,0.1630000000
population_size,180.0,4,0.1650000000
population_size,180.0,5,0.1650000000
population_size,180.0,6,0.1645000000
population_size,180.0,7,0.1615000000
population_size,180.0,8,0.1390000000
population_size,180.0,9,0.1325000000
population_size,180.0,10,0.1320000000
population_size,180.0,11,0.1320000000
population_size,180.0,12,0.1315000000
population_size,180.0,13,0.1315000000
population_size,180.0,14,0.1300000000
population_size,180.0,15,0.1295000000
population_size,180.0,16,0.1160000000
population_size,180.0,17,0.1160000000
population_size,180.0,18,0.1160000000
population_size,180.0,19,0.1160000000
population_size,180.0,20,0.0955000000
population_size,180.0,21,0.0955000000
population_size,180.0,22,0.0955000000
population_size,180.0,23,0.0955000000
population_size,180.0,24,0.0955000000
population_size,180.0,25,0.0955000000
population_size,180.0,26,0.0955000000
population_size,180.0,27,0.0950000000
population_size,180.0,28,0.0950000000
population_size,180.0,29,0.0950000000
population_size,180.0,30,0.0940000000
population_size,180.0,31,0.0940000000
population_size,180.0,32,0.0940000000
population_size,180.0,33,0.0935000000
population_size,180.0,34,0.0935000000
population_size,180.0,35,0.0935000000
population_size,180.0,36,0.0935000000
population_size,180.0,37,0.0930000000
population_size,180.0,38,0.0930000000
population_size,180.0,39,0.0930000000
population_size,180.0,40,0.0930000000
population_size,240.0,0,0.1820000000
population_size,240.0,1,0.1815000000
population_size,240.0,2,0.1790000000
population_size,240.0,3,0.1715000000
population_size,240.0,4,0.1685000000
population_size,240.0,5,0.1685000000
population_size,240.0,6,0.1530000000
population_size,240.0,7,0.1530000000
population_size,240.0,8,0.1525000000
population_size,240.0,9,0.1460000000
population_size,240.0,10,0.1395000000
population_size,240.0,11,0.1395000000
population_size,240.0,12,0.1325000000
population_size,240.0,13,0.1295000000
population_size,240.0,14,0.1240000000
population_size,240.0,15,0.1245000000
population_size,240.0,16,0.1240000000
population_size,240.0,17,0.1100000000
population_size,240.0,18,0.1060000000
population_size,240.0,19,0.1075000000
population_size,240.0,20,0.1075000000
population_size,240.0,21,0.1060000000
population_size,240.0,22,0.1030000000
population_size,240.0,23,0.1030000000
population_size,240.0,24,0.1025000000
population_size,240.0,25,0.1025000000
population_size,240.0,26,0.1025000000
population_size,240.0,27,0.1025000000
population_size,240.0,28,0.1020000000
population_size,240.0,29,0.1015000000
population_size,240.0,30,0.1015000000
population_size,240.0,31,0.1010000000
population_size,240.0,32,0.1010000000
population_size,240.0,33,0.0995000000
population_size,240.0,34,0.0990000000
population_size,240.0,35,0.0990000000
population_size,240.0,36,0.0990000000
population_size,240.0,37,0.0990000000
population_size,240.0,38,0.0980000000
population_size,240.0,39,0.0980000000
population_size,240.0,40,0.0980000000
population_size,300.0,0,0.1720000000
population_size,300.0,1,0.1720000000
population_size,300.0,2,0.1720000000
population_size,300.0,3,0.1550000000
population_size,300.0,4,0.1580000000
population_size,300.0,5,0.1560000000
population_size,300.0,6,0.1560000000
population_size,300.0,7,0.1555000000
population_size,300.0,8,0.1520000000
population_size,300.0,9,0.1420000000
population_size,300.0,10,0.1325000000
population_size,300.0,11,0.1215000000
population_size,300.0,12,0.1215000000
population_size,300.0,13,0.1215000000
population_size,300.0,14,0.1130000000
population_size,300.0,15,0.1130000000
population_size,300.0,16,0.1115000000
population_size,300.0,17,0.1120000000
population_size,300.0,18,0.1105000000
population_size,300.0,19,0.1100000000
population_size,300.0,20,0.1020000000
population_size,300.0,21,0.1020000000
population_size,300.0,22,0.1020000000
population_size,300.0,23,0.0990000000
population_size,300.0,24,0.0975000000
population_size,300.0,25,0.0975000000
population_size,300.0,26,0.0975000000
population_size,300.0,27,0.0975000000
population_size,300.0,28,0.0965000000
population_size,300.0,29,0.0965000000
population_size,300.0,30,0.0965000000
population_size,300.0,31,0.0940000000
population_size,300.0,32,0.0930000000
population_size,300.0,33,0.0930000000
population_size,300.0,34,0.0930000000
population_size,300.0,35,0.0930000000
population_size,300.0,36,0.0930000000
population_size,300.0,37,0.0930000000
population_size,300.0,38,0.0930000000
population_size,300.0,39,0.0930000000
population_size,300.0,40,0.0920000000
cxpb,0.55,0,0.1735000000
cxpb,0.55,1,0.1775000000
cxpb,0.55,2,0.1720000000
cxpb,0.55,3,0.1705000000
cxpb,0.55,4,0.1530000000
cxpb,0.55,5,0.1530000000
cxpb,0.55,6,0.1525000000
cxpb,0.55,7,0.1490000000
cxpb,0.55,8,0.1490000000
cxpb,0.55,9,0.1490000000
cxpb,0.55,10,0.1470000000
cxpb,0.55,11,0.1470000000
cxpb,0.55,12,0.1325000000
cxpb,0.55,13,0.1325000000
cxpb,0.55,14,0.1280000000
cxpb,0.55,15,0.1265000000
cxpb,0.55,16,0.1265000000
cxpb,0.55,17,0.1265000000
cxpb,0.55,18,0.1240000000
cxpb,0.55,19,0.1235000000
cxpb,0.55,20,0.1210000000
cxpb,0.55,21,0.1205000000
cxpb,0.55,22,0.1180000000
cxpb,0.55,23,0.1160000000
cxpb,0.55,24,0.1150000000
cxpb,0.55,25,0.1145000000
cxpb,0.55,26,0.0985000000
cxpb,0.55,27,0.0960000000
cxpb,0.55,28,0.0985000000
cxpb,0.55,29,0.0950000000
cxpb,0.55,30,0.0950000000
cxpb,0.55,31,0.0950000000
cxpb,0.55,32,0.0950000000
cxpb,0.55,33,0.0945000000
cxpb,0.55,34,0.0945000000
cxpb,0.55,35,0.0925000000
cxpb,0.55,36,0.0935000000
cxpb,0.55,37,0.0935000000
cxpb,0.55,38,0.0925000000
cxpb,0.55,39,0.0925000000
cxpb,0.55,40,0.0925000000
cxpb,0.65,0,0.1715000000
cxpb,0.65,1,0.1715000000
cxpb,0.65,2,0.1650000000
cxpb,0.65,3,0.1440000000
cxpb,0.65,4,0.1440000000
cxpb,0.65,5,0.1330000000
cxpb,0.65,6,0.1200000000
cxpb,0.65,7,0.1185000000
cxpb,0.65,8,0.1165000000
cxpb,0.65,9,0.1170000000
cxpb,0.65,10,0.1125000000
cxpb,0.65,11,0.1115000000
cxpb,0.65,12,0.1085000000
cxpb,0.65,13,0.1085000000
cxpb,0.65,14,0.1050000000
cxpb,0.65,15,0.1035000000
cxpb,0.65,16,0.1025000000
cxpb,0.65,17,0.1025000000
cxpb,0.65,18,0.1025000000
cxpb,0.65,19,0.1025000000
cxpb,0.65,20,0.1020000000
cxpb,0.65,21,0.1015000000
cxpb,0.65,22,0.1015000000
cxpb,0.65,23,0.1010000000
cxpb,0.65,24,0.1010000000
cxpb,0.65,25,0.1010000000
cxpb,0.65,26,0.1010000000
cxpb,0.65,27,0.0995000000
cxpb,0.65,28,0.0995000000
cxpb,0.65,29,0.0995000000
cxpb,0.65,30,0.0995000000
cxpb,0.65,31,0.0995000000
cxpb,0.65,32,0.0995000000
cxpb,0.65,33,0.0995000000
cxpb,0.65,34,0.0995000000
cxpb,0.65,35,0.0995000000
cxpb,0.65,36,0.0995000000
cxpb,0.65,37,0.0995000000
cxpb,0.65,38,0.0995000000
cxpb,0.65,39,0.0995000000
cxpb,0.65,40,0.0995000000
mutpb,0.22,0,0.1735000000
mutpb,0.22,1,0.1775000000
mutpb,0.22,2,0.1760000000
mutpb,0.22,3,0.1725000000
mutpb,0.22,4,0.1590000000
mutpb,0.22,5,0.1190000000
