parameter,value,generation,quality_score,negative_share,glin_bad_share,coll_bad_share,tested_matrices
population_size,140.0,0,0.0755399168,0.0890000000,0.0337837838,0.0096153846,980
population_size,140.0,1,0.0729182952,0.0815000000,0.0675675676,0.0096153846,1699
population_size,140.0,2,0.0639047817,0.0715000000,0.0574324324,0.0096153846,2419
population_size,140.0,3,0.0628912682,0.0715000000,0.0472972973,0.0096153846,3150
population_size,140.0,4,0.0621534304,0.0710000000,0.0439189189,0.0096153846,3846
population_size,140.0,5,0.0621534304,0.0710000000,0.0439189189,0.0096153846,4523
population_size,140.0,6,0.0621534304,0.0710000000,0.0439189189,0.0096153846,5202
population_size,140.0,7,0.0618155925,0.0710000000,0.0405405405,0.0096153846,5823
population_size,140.0,8,0.0613534304,0.0700000000,0.0439189189,0.0096153846,6470
population_size,140.0,9,0.0610155925,0.0700000000,0.0405405405,0.0096153846,7093
population_size,140.0,10,0.0606155925,0.0695000000,0.0405405405,0.0096153846,7845
population_size,140.0,11,0.0602777547,0.0695000000,0.0371621622,0.0096153846,8542
population_size,140.0,12,0.0602777547,0.0695000000,0.0371621622,0.0096153846,9201
population_size,140.0,13,0.0602777547,0.0695000000,0.0371621622,0.0096153846,9901
population_size,140.0,14,0.0602777547,0.0695000000,0.0371621622,0.0096153846,10563
population_size,140.0,15,0.0602777547,0.0695000000,0.0371621622,0.0096153846,11235
population_size,140.0,16,0.0602777547,0.0695000000,0.0371621622,0.0096153846,11947
population_size,140.0,17,0.0602777547,0.0695000000,0.0371621622,0.0096153846,12625
population_size,140.0,18,0.0602777547,0.0695000000,0.0371621622,0.0096153846,13316
population_size,140.0,19,0.0602777547,0.0695000000,0.0371621622,0.0096153846,14006
population_size,140.0,20,0.0602777547,0.0695000000,0.0371621622,0.0096153846,14629
population_size,140.0,21,0.0602777547,0.0695000000,0.0371621622,0.0096153846,15328
population_size,140.0,22,0.0602777547,0.0695000000,0.0371621622,0.0096153846,16037
population_size,140.0,23,0.0602777547,0.0695000000,0.0371621622,0.0096153846,16704
population_size,140.0,24,0.0602777547,0.0695000000,0.0371621622,0.0096153846,17333
population_size,140.0,25,0.0602777547,0.0695000000,0.0371621622,0.0096153846,17986
population_size,140.0,26,0.0602777547,0.0695000000,0.0371621622,0.0096153846,18470
population_size,140.0,27,0.0602777547,0.0695000000,0.0371621622,0.0096153846,18970
population_size,140.0,28,0.0602777547,0.0695000000,0.0371621622,0.0096153846,19331
population_size,140.0,29,0.0602777547,0.0695000000,0.0371621622,0.0096153846,19715
population_size,140.0,30,0.0602777547,0.0695000000,0.0371621622,0.0096153846,20010
population_size,140.0,31,0.0602777547,0.0695000000,0.0371621622,0.0096153846,20302
population_size,140.0,32,0.0602777547,0.0695000000,0.0371621622,0.0096153846,20592
population_size,140.0,33,0.0602777547,0.0695000000,0.0371621622,0.0096153846,20884
population_size,140.0,34,0.0602777547,0.0695000000,0.0371621622,0.0096153846,21080
population_size,140.0,35,0.0598777547,0.0690000000,0.0371621622,0.0096153846,21280
population_size,140.0,36,0.0598777547,0.0690000000,0.0371621622,0.0096153846,21486
population_size,140.0,37,0.0598777547,0.0690000000,0.0371621622,0.0096153846,21575
population_size,140.0,38,0.0598777547,0.0690000000,0.0371621622,0.0096153846,21671
population_size,140.0,39,0.0598777547,0.0690000000,0.0371621622,0.0096153846,21774
population_size,140.0,40,0.0598777547,0.0690000000,0.0371621622,0.0096153846,21879
population_size,140.0,41,0.0598777547,0.0690000000,0.0371621622,0.0096153846,21977
population_size,140.0,42,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22057
population_size,140.0,43,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22150
population_size,140.0,44,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22249
population_size,140.0,45,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22347
population_size,140.0,46,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22445
population_size,140.0,47,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22557
population_size,140.0,48,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22651
population_size,140.0,49,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22738
population_size,140.0,50,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22845
population_size,140.0,51,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22952
population_size,140.0,52,0.0598777547,0.0690000000,0.0371621622,0.0096153846,23038
population_size,140.0,53,0.0598777547,0.0690000000,0.0371621622,0.0096153846,23134
population_size,140.0,54,0.0594777547,0.0685000000,0.0371621622,0.0096153846,23232
population_size,140.0,55,0.0594777547,0.0685000000,0.0371621622,0.0096153846,23326
population_size,140.0,56,0.0594777547,0.0685000000,0.0371621622,0.0096153846,23440
population_size,140.0,57,0.0594777547,0.0685000000,0.0371621622,0.0096153846,23541
population_size,140.0,58,0.0594777547,0.0685000000,0.0371621622,0.0096153846,23639
population_size,140.0,59,0.0594777547,0.0685000000,0.0371621622,0.0096153846,23742
population_size,140.0,60,0.0594777547,0.0685000000,0.0371621622,0.0096153846,23841
population_size,140.0,61,0.0594777547,0.0685000000,0.0371621622,0.0096153846,23939
population_size,140.0,62,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24034
population_size,140.0,63,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24135
population_size,140.0,64,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24236
population_size,140.0,65,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24342
population_size,140.0,66,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24438
population_size,140.0,67,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24537
population_size,140.0,68,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24635
population_size,140.0,69,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24740
population_size,140.0,70,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24835
population_size,140.0,71,0.0594777547,0.0685000000,0.0371621622,0.0096153846,24937
population_size,140.0,72,0.0594777547,0.0685000000,0.0371621622,0.0096153846,25033
population_size,140.0,73,0.0594777547,0.0685000000,0.0371621622,0.0096153846,25126
population_size,140.0,74,0.0594777547,0.0685000000,0.0371621622,0.0096153846,25235
population_size,140.0,75,0.0594777547,0.0685000000,0.0371621622,0.0096153846,25329
population_size,140.0,76,0.0594777547,0.0685000000,0.0371621622,0.0096153846,25422
population_size,140.0,77,0.0594777547,0.0685000000,0.0371621622,0.0096153846,25517
population_size,140.0,78,0.0594777547,0.0685000000,0.0371621622,0.0096153846,25613
population_size,140.0,79,0.0594777547,0.0685000000,0.0371621622,0.0096153846,25707
population_size,220.0,0,0.0739939709,0.0820000000,0.0743243243,0.0096153846,1540
population_size,220.0,1,0.0733182952,0.0820000000,0.0675675676,0.0096153846,2640
population_size,220.0,2,0.0724561331,0.0805000000,0.0709459459,0.0096153846,3596
population_size,220.0,3,0.0670426195,0.0750000000,0.0608108108,0.0096153846,4687
population_size,220.0,4,0.0636291060,0.0720000000,0.0506756757,0.0096153846,5876
population_size,220.0,5,0.0629534304,0.0720000000,0.0439189189,0.0096153846,6880
population_size,220.0,6,0.0629534304,0.0720000000,0.0439189189,0.0096153846,7977
population_size,220.0,7,0.0618777547,0.0715000000,0.0371621622,0.0096153846,9047
population_size,220.0,8,0.0615399168,0.0715000000,0.0337837838,0.0096153846,10093
population_size,220.0,9,0.0614777547,0.0710000000,0.0371621622,0.0096153846,11190
population_size,220.0,10,0.0614777547,0.0710000000,0.0371621622,0.0096153846,12244
population_size,220.0,11,0.0614777547,0.0710000000,0.0371621622,0.0096153846,13317
population_size,220.0,12,0.0611399168,0.0710000000,0.0337837838,0.0096153846,14396
population_size,220.0,13,0.0611399168,0.0710000000,0.0337837838,0.0096153846,15472
population_size,220.0,14,0.0610777547,0.0705000000,0.0371621622,0.0096153846,16531
population_size,220.0,15,0.0602777547,0.0695000000,0.0371621622,0.0096153846,17573
population_size,220.0,16,0.0602777547,0.0695000000,0.0371621622,0.0096153846,18689
population_size,220.0,17,0.0599399168,0.0695000000,0.0337837838,0.0096153846,19807
population_size,220.0,18,0.0599399168,0.0695000000,0.0337837838,0.0096153846,20939
population_size,220.0,19,0.0599399168,0.0695000000,0.0337837838,0.0096153846,22066
population_size,220.0,20,0.0599399168,0.0695000000,0.0337837838,0.0096153846,23113
population_size,220.0,21,0.0596020790,0.0695000000,0.0304054054,0.0096153846,24145
population_size,220.0,22,0.0596020790,0.0695000000,0.0304054054,0.0096153846,25244
population_size,220.0,23,0.0596020790,0.0695000000,0.0304054054,0.0096153846,26380
population_size,220.0,24,0.0596020790,0.0695000000,0.0304054054,0.0096153846,27414
population_size,220.0,25,0.0596020790,0.0695000000,0.0304054054,0.0096153846,28474
population_size,220.0,26,0.0596020790,0.0695000000,0.0304054054,0.0096153846,29298
population_size,220.0,27,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30081
population_size,220.0,28,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30847
population_size,220.0,29,0.0596020790,0.0695000000,0.0304054054,0.0096153846,31612
population_size,220.0,30,0.0596020790,0.0695000000,0.0304054054,0.0096153846,32420
population_size,220.0,31,0.0592642412,0.0695000000,0.0270270270,0.0096153846,33205
