parameter,value,final_generation,final_quality_score,total_tested_matrices,total_time_sec
population_size,140.0,79,0.0594777547,25707,7.617812
population_size,220.0,69,0.0588020790,46088,8.593862
population_size,320.0,52,0.0568020790,59682,9.188229
population_size,420.0,50,0.0571399168,68452,9.809968
cxpb,0.4,53,0.0587399168,30608,7.923177
cxpb,0.55,66,0.0579399168,40610,8.486117
cxpb,0.7,70,0.0579399168,44363,8.741116
cxpb,0.85,67,0.0571399168,52504,9.188865
mutpb,0.1,52,0.0602777547,36942,8.643050
mutpb,0.25,69,0.0588020790,46088,9.032632
mutpb,0.4,63,0.0587399168,42006,8.486067
mutpb,0.55,52,0.0587399168,48504,9.378033
indpb,0.04,54,0.0592020790,38202,8.412055
indpb,0.1,69,0.0588020790,46088,9.736886
indpb,0.18,52,0.0564020790,46057,9.678556
indpb,0.28,65,0.0591399168,39498,9.059382
tournsize,2.0,52,0.0587399168,42638,9.068878
tournsize,3.0,69,0.0588020790,46088,9.851230
tournsize,5.0,61,0.0588020790,42736,10.056183
tournsize,7.0,35,0.0602777547,32963,8.983933
ngen,60.0,60,0.0588020790,44728,9.572754
ngen,110.0,69,0.0588020790,46088,9.375944
ngen,170.0,69,0.0588020790,46088,9.382074
ngen,240.0,69,0.0588020790,46088,9.665650
patience,0.0,110,0.0588020790,119954,16.110545
patience,10.0,31,0.0600020790,20809,7.595002
patience,25.0,69,0.0588020790,46088,9.902879
patience,50.0,94,0.0588020790,72848,11.624006
