trial_id,search_time_sec,quality_score,negative_share,glin_bad_share,coll_bad_share,feasible,better_than_baseline,population_size,ngen,cxpb,mutpb,indpb,tournsize,patience,min_delta,n_jobs,seed
6,0.928115,0.0640500000,0.0915000000,0.0000000000,0.0000000000,0,0,180,180,0.5,0.3,0.15,4,25,1e-06,1,609852
10,1.499387,0.0640500000,0.0915000000,0.0000000000,0.0000000000,0,0,220,220,0.6,0.3,0.15,2,18,1e-07,1,172976
16,1.989832,0.0640500000,0.0915000000,0.0000000000,0.0000000000,0,0,280,70,0.5,0.35,0.12,4,35,1e-06,1,859078
4,1.115804,0.0644000000,0.0920000000,0.0000000000,0.0000000000,0,0,140,180,0.6,0.2,0.15,2,25,1e-06,1,605137
5,1.524592,0.0644000000,0.0920000000,0.0000000000,0.0000000000,0,0,340,140,0.5,0.25,0.06,4,25,1e-07,1,439500
3,1.560041,0.0644000000,0.0920000000,0.0000000000,0.0000000000,0,0,140,180,0.5,0.2,0.06,3,45,1e-06,1,252354
12,1.976160,0.0644000000,0.0920000000,0.0000000000,0.0000000000,0,0,420,110,0.7,0.35,0.15,3,18,1e-06,1,990570
17,2.335381,0.0644000000,0.0920000000,0.0000000000,0.0000000000,0,0,280,180,0.6,0.35,0.1,4,45,1e-06,1,158253
11,0.809274,0.0651000000,0.0930000000,0.0000000000,0.0000000000,0,0,220,90,0.6,0.35,0.06,4,18,1e-07,1,356645
18,1.091905,0.0651000000,0.0930000000,0.0000000000,0.0000000000,0,0,140,90,0.5,0.25,0.08,2,45,1e-06,1,275510
2,1.150708,0.0651000000,0.0930000000,0.0000000000,0.0000000000,0,0,220,90,0.6,0.2,0.06,4,18,1e-07,1,611098
9,1.211386,0.0651000000,0.0930000000,0.0000000000,0.0000000000,0,0,220,90,0.5,0.25,0.06,4,35,1e-07,1,917649
1,1.273591,0.0651000000,0.0930000000,0.0000000000,0.0000000000,0,0,220,110,0.6,0.25,0.1,3,25,1e-07,1,7
13,1.351172,0.0651000000,0.0930000000,0.0000000000,0.0000000000,0,0,220,140,0.7,0.2,0.06,4,35,1e-07,1,298421
15,0.868035,0.0658000000,0.0940000000,0.0000000000,0.0000000000,0,0,140,140,0.5,0.25,0.1,2,25,1e-07,1,409941
7,1.224661,0.0665000000,0.0950000000,0.0000000000,0.0000000000,0,0,340,220,0.5,0.3,0.06,4,18,1e-06,1,649079
14,3.902234,0.0677905405,0.0925000000,0.0101351351,0.0000000000,0,0,420,140,0.7,0.3,0.06,3,35,1e-06,1,640596
8,1.894018,0.0723405405,0.0990000000,0.0101351351,0.0000000000,0,0,180,140,0.7,0.35,0.1,3,60,1e-07,1,379147
