interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,1,0,1,1611.83,1611.83,1,bf,0.0,0.0,coll_bad_share,0.0,5.493858099973295,65536,16,0
1,2,1,37,1612.03,1619.03,36,bf,0.0,0.0,glin_bad_share,0.0,6.223893700051121,65536,32,0
2,1,37,60,1619.23,1623.63,23,bf,0.0,0.0,coll_bad_share,0.0,5.937084200035315,65536,16,0
3,2,60,75,1623.83,1626.63,15,bf,0.0,0.0,glin_bad_share,0.0,6.196967499970924,65536,32,0
4,1,75,100,1626.83,1631.63,25,bf,0.0,0.0,coll_bad_share,0.0,5.778712600003928,65536,16,0
5,2,100,166,1631.83,1644.83,66,bf,0.0,0.0,glin_bad_share,0.0,6.344880999997258,65536,32,0
6,1,166,209,1645.03,1653.43,43,bf,0.0074418604651162795,0.009302325581395349,coll_bad_share,0.0,6.380961999995634,65536,16,0
7,2,209,260,1653.63,1663.63,51,bf,0.0,0.0,glin_bad_share,0.0,6.234770000039134,65536,32,0
8,1,260,274,1663.83,1666.43,14,bf,0.011428571428571429,0.014285714285714285,coll_bad_share,0.0,6.05696929997066,65536,16,0
9,2,274,422,1666.63,1696.03,148,bf,0.0032432432432432435,0.004054054054054054,glin_bad_share,0.0,7.979255100013688,65536,32,0
