interval_id,lithotype,start_idx,end_idx,depth_start,depth_end,sample_count,method,local_score,negative_share,bad_metric_name,bad_share,elapsed_sec,evals,invalid_count,generations_ran
0,2,0,139,1703.47,1731.07,139,bf,0.06258992805755396,0.007194244604316547,glin_bad_share,0.5683453237410072,7.720984599960502,65536,32,0
1,1,139,169,1731.27,1737.07,30,bf,0.0,0.0,coll_bad_share,0.0,6.226577499997802,65536,16,0
2,2,169,231,1737.27,1749.47,62,bf,0.011290322580645162,0.0,glin_bad_share,0.11290322580645161,6.98815150000155,65536,32,0
3,1,231,241,1749.67,1751.47,10,bf,0.0,0.0,coll_bad_share,0.0,5.920421899994835,65536,16,0
4,2,241,259,1751.67,1755.07,18,bf,0.0,0.0,glin_bad_share,0.0,5.949548900010996,65536,32,0
5,1,259,281,1755.27,1759.47,22,bf,0.014545454545454545,0.01818181818181818,coll_bad_share,0.0,5.9416688999626786,65536,16,0
6,2,281,326,1759.67,1768.47,45,bf,0.014222222222222223,0.017777777777777778,glin_bad_share,0.0,6.348054000001866,65536,32,0
7,1,326,354,1768.67,1774.07,28,bf,0.0,0.0,coll_bad_share,0.0,6.339899100014009,65536,16,0
8,2,354,366,1774.27,1776.47,12,bf,0.0,0.0,glin_bad_share,0.0,6.238143499998841,65536,32,0
9,1,366,388,1776.67,1780.87,22,bf,0.0,0.0,coll_bad_share,0.0,6.055588399991393,65536,16,0
10,2,388,464,1781.07,1796.07,76,bf,0.003947368421052632,0.0,glin_bad_share,0.039473684210526314,6.635213000001386,65536,32,0
